sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
Q001,543.0,chip,Shamkya,An6,499025.0,2102599.0,0.001,1.0,1.0,1.0,2.0,1.0,1.0,0.1,True
Q002,544.0,chip,Shamkya,An6,488917.0,2101703.0,0.01,1.0,1.0,1.0,17.0,9.0,10.0,0.1,True
Q003,545.0,chip,Shamkya,An6,498978.0,2102719.0,0.001,1.0,1.0,1.0,2.0,1.0,1.0,0.1,True
Q004,546.0,chip,Shamkya,An6,489744.0,2104904.0,0.001,2.0,1.0,24.0,154.0,11.0,107.0,4.5,True
Q005,547.0,chip,Shamkya,An6,498969.0,2101973.0,0.001,1.0,1.0,1.0,5.0,1.0,1.0,0.1,True
Q006,548.0,chip,Shamkya,An6,485972.0,2110154.0,0.001,4.0,1.0,2.0,184.0,15.0,83.0,0.6,True
Q007,549.0,chip,Shamkya,An6,498178.0,2101767.0,0.001,1.0,1.0,2.0,3.0,5.0,9.0,0.1,True
Q008,550.0,chip,Shamkya,An6,486636.0,2106696.0,0.001,4.0,1.0,1.0,4.0,3.0,3.0,0.1,True
Q009,551.0,chip,Shamkya,An6,497712.0,2101374.0,0.001,1.0,1.0,1.0,8.0,7.0,4.0,0.1,True
Q010,552.0,chip,Shamkya,An6,485004.0,2110471.0,0.001,3.0,1.0,5.0,26.0,13.0,79.0,1.4,True
Q011,553.0,chip,Shamkya,An6,498636.0,2109052.0,0.001,1.0,1.0,1.0,3.0,3.0,1.0,0.1,True
Q012,554.0,chip,Shamkya,An6,469613.0,2107568.0,0.001,4.0,1.0,1.0,8.0,1.0,1.0,0.1,True
Q013,555.0,chip,Shamkya,An6,498624.0,2108530.0,0.001,1.0,1.0,1.0,5.0,17.0,7.0,0.1,True
Q014,556.0,chip,Shamkya,An6,473491.0,2107688.0,0.001,10.0,1.0,1.0,3.0,35.0,10.0,0.1,True
Q015,557.0,chip,Shamkya,An6,487805.0,2105128.0,0.001,3.0,1.0,1.0,5.0,16.0,7.0,0.1,True
Q016,558.0,chip,Shamkya,An6,472492.0,2106689.0,0.001,2.0,1.0,1.0,22.0,6.0,3.0,0.1,True
Q017,559.0,chip,Shamkya,An6,477860.0,2106178.0,0.001,1.0,1.0,1.0,2.0,1.0,1.0,0.1,True
Q018,560.0,chip,Shamkya,An6,471378.0,2105803.0,0.001,2.0,1.0,1.0,10.0,11.0,10.0,0.1,True
Q019,561.0,chip,Shamkya,An6,471618.0,2104785.0,0.001,1.0,1.0,1.0,2.0,1.0,1.0,0.1,True
Q020,562.0,chip,Shamkya,An6,464437.0,2107607.0,0.001,1.0,1.0,3.0,5.0,4.0,14.0,0.3,True
Q021,563.0,chip,Shamkya,An6,474923.0,2107510.0,0.001,1.0,1.0,1.0,3.0,4.0,3.0,0.1,True
Q022,564.0,chip,Shamkya,An6,464377.0,2106143.0,0.001,4.0,1.0,1.0,8.0,2.0,1.0,0.1,True
Q023,565.0,chip,Shamkya,An6,470672.0,2105918.0,0.001,1.0,1.0,1.0,3.0,8.0,2.0,0.1,True
Q024,566.0,chip,Shamkya,An6,465976.0,2104864.0,0.001,2.0,1.0,1.0,6.0,2.0,1.0,0.1,True
Q025,567.0,chip,Shamkya,An6,456570.0,2108343.0,0.001,5.0,1.0,1.0,43.0,39.0,6.0,0.1,True
Q026,568.0,chip,Shamkya,An6,466798.0,2105512.0,0.001,5.0,1.0,1.0,35.0,3.0,1.0,0.1,True
Q027,569.0,chip,Shamkya,An6,465200.0,2110386.0,0.001,1.0,1.0,1.0,25.0,4.0,1.0,0.1,True
Q028,570.0,chip,Shamkya,An6,466923.0,2107127.0,0.001,1.0,1.0,19.0,17.0,1.0,54.0,0.5,True
Q029,571.0,chip,Shamkya,An6,457855.0,2112775.0,0.02,1.0,1.0,1.0,3.0,1.0,1.0,0.1,True
Q030,572.0,chip,Shamkya,An6,466357.0,2103109.0,0.001,139.0,1.0,1.0,4.0,16.0,2.0,0.1,True
Q031,573.0,chip,Shamkya,An6,466414.0,2103075.0,0.01,1.0,1.0,1.0,36.0,3.0,3.0,0.1,True
Q032,574.0,chip,Shamkya,An6,460749.0,2108362.0,0.01,12.0,1.0,167.0,59.0,5.0,731.0,33.0,True
Q033,575.0,chip,Shamkya,An6,467575.0,2103016.0,0.001,1.0,1.0,1.0,77.0,2.0,1.0,0.1,True
Q034,576.0,chip,Shamkya,An6,476273.0,2117983.0,0.01,4.0,1.0,2.0,35.0,2.0,2.0,0.2,True
Q035,577.0,chip,Shamkya,An6,470793.0,2103486.0,0.001,1.0,1.0,1.0,9.0,43.0,6.0,0.1,True
Q036,578.0,chip,Shamkya,An6,474686.0,2117760.0,0.001,2.0,1.0,1.0,3.0,3.0,1.0,0.1,True
Q037,579.0,chip,Shamkya,An6,472395.0,2102192.0,0.001,1.0,1.0,1.0,3.0,1.0,2.0,0.1,True
Q038,580.0,chip,Shamkya,An6,459233.0,2107453.0,0.001,1.0,1.0,1.0,2.0,2.0,1.0,0.1,True
Q039,581.0,chip,Shamkya,An6,473064.0,2117144.0,0.001,5.0,1.0,1.0,4.0,2.0,1.0,0.1,True
Q040,582.0,chip,Shamkya,An6,464154.0,2110235.0,0.001,4.0,1.0,1.0,9.0,2.0,2.0,0.1,True
Q041,583.0,chip,Shamkya,An6,463053.0,2108462.0,0.001,2.0,1.0,1.0,24.0,2.0,2.0,0.1,True
Q042,584.0,chip,Shamkya,An6,473364.0,2117151.0,0.001,1.0,1.0,1.0,2.0,1.0,1.0,0.1,True
Q043,585.0,chip,Shamkya,An6,462436.0,2108541.0,0.001,1.0,1.0,1.0,16.0,1.0,1.0,0.1,True
Q044,586.0,chip,Shamkya,An6,470729.0,2114873.0,0.001,5.0,1.0,4.0,12.0,17.0,157.0,0.3,True
Q045,587.0,chip,Shamkya,An6,477215.0,2118464.0,0.001,6.0,1.0,1.0,27.0,97.0,11.0,0.1,True
Q046,588.0,chip,Shamkya,An6,489287.0,2111348.0,0.001,1.0,1.0,1.0,2.0,3.0,2.0,0.1,True
Q047,589.0,chip,Shamkya,An6,473685.0,2118463.0,0.001,1.0,1.0,1.0,15.0,1.0,1.0,0.1,True
Q048,590.0,chip,Shamkya,An6,492740.0,2118062.0,0.001,9.0,1.0,1.0,30.0,48.0,8.0,0.1,True
Q049,591.0,chip,Shamkya,An6,470297.0,2117604.0,0.001,2.0,1.0,1.0,11.0,3.0,1.0,0.1,True
Q050,592.0,chip,Shamkya,An6,472808.0,2124486.0,0.001,8.0,1.0,1.0,10.0,7.0,1.0,0.1,True
Q051,593.0,chip,Shamkya,An6,471224.0,2115812.0,0.001,1.0,1.0,1.0,2.0,1.0,1.0,0.1,True
Q052,594.0,chip,Shamkya,An6,475634.0,2121400.0,0.001,10.0,1.0,1.0,3.0,4.0,10.0,0.1,True
Q053,595.0,chip,Shamkya,An6,471991.0,2115213.0,0.01,308.0,1.0,1.0,51.0,9.0,9.0,0.2,True
Q054,596.0,chip,Shamkya,An6,473720.0,2128154.0,0.001,7.0,1.0,2.0,50.0,1.0,6.0,0.4,True
Q055,597.0,chip,Shamkya,An6,475091.0,2114019.0,0.001,1.0,1.0,1.0,2.0,1.0,2.0,0.1,True
Q056,598.0,chip,Shamkya,An6,497800.0,2125356.0,0.001,14.0,1.0,1.0,16.0,17.0,2.0,0.1,True
Q057,599.0,chip,Shamkya,An6,483183.0,2112316.0,0.001,1.0,1.0,1.0,5.0,2.0,1.0,0.1,True
Q058,600.0,chip,Shamkya,An6,496152.0,2125999.0,0.001,118.0,1.0,1.0,12.0,4.0,4.0,0.1,True
Q059,601.0,chip,Shamkya,An6,485882.0,2113361.0,0.001,5.0,1.0,1.0,25.0,59.0,7.0,0.1,True
Q060,602.0,chip,Shamkya,An6,487729.0,2127361.0,0.001,1.0,1.0,1.0,2.0,1.0,1.0,0.1,True
Q061,603.0,chip,Shamkya,An6,485807.0,2127940.0,0.001,1.0,1.0,1.0,3.0,1.0,1.0,0.1,True
Q062,604.0,chip,Shamkya,An6,484372.0,2118662.0,0.001,5.0,1.0,1.0,5.0,4.0,2.0,0.1,True
Q063,605.0,chip,Shamkya,An6,482354.0,2136190.0,0.001,2.0,1.0,1.0,4.0,3.0,1.0,0.1,True
Q064,606.0,chip,Shamkya,An6,471338.0,2120874.0,0.001,1.0,1.0,1.0,3.0,2.0,2.0,0.1,True
Q065,607.0,chip,Shamkya,An6,492191.0,2137896.0,0.01,84.0,1.0,2.0,3.0,3.0,9.0,0.1,True
Q066,608.0,chip,Shamkya,An6,470423.0,2120912.0,0.001,1.0,1.0,1.0,8.0,4.0,6.0,0.1,True
Q067,609.0,chip,Shamkya,An6,488669.0,2137115.0,0.001,8.0,1.0,1.0,7.0,11.0,2.0,0.1,True
Q068,610.0,chip,Shamkya,An6,470043.0,2123890.0,0.001,16.0,1.0,1.0,10.0,4.0,8.0,0.1,True
Q069,611.0,chip,Shamkya,An6,493772.0,2139932.0,0.001,58.0,1.0,1.0,219.0,164.0,5.0,0.2,True
Q070,612.0,chip,Shamkya,An6,478899.0,2121074.0,0.001,1.0,1.0,1.0,5.0,47.0,2.0,0.2,True
Q071,613.0,chip,Shamkya,An6,486491.0,2144289.0,0.001,2.0,1.0,1.0,23.0,4.0,3.0,0.1,True
Q072,614.0,chip,Shamkya,An6,482723.0,2129541.0,0.04,6.0,1.0,1.0,11.0,26.0,2.0,0.1,True
Q073,615.0,chip,Shamkya,An6,495562.0,2143760.0,0.001,1.0,1.0,1.0,17.0,2.0,1.0,0.1,True
Q074,616.0,chip,Shamkya,An6,475288.0,2132700.0,0.001,1.0,1.0,2.0,2.0,8.0,1.0,0.1,True
Q075,617.0,chip,Shamkya,An6,489948.0,2147177.0,0.001,1.0,1.0,1.0,34.0,15.0,2.0,0.1,True
Q076,618.0,chip,Shamkya,An6,475377.0,2132716.0,0.76,1.0,1.0,13.0,161.0,14.0,84.0,13.1,True
Q077,619.0,chip,Shamkya,An6,491340.0,2146297.0,0.001,25.0,1.0,1.0,10.0,6.0,2.0,0.4,True
Q078,620.0,chip,Shamkya,An6,495427.0,2123120.0,0.001,6.0,1.0,1.0,21.0,20.0,14.0,0.1,True
Q079,621.0,chip,Shamkya,An6,495275.0,2148366.0,0.001,4.0,1.0,1.0,6.0,20.0,4.0,0.1,True
Q080,622.0,chip,Shamkya,An6,494347.0,2124425.0,0.001,1.0,1.0,1.0,3.0,10.0,1.0,0.1,True
Q081,623.0,chip,Shamkya,An6,492574.0,2146737.0,0.001,14.0,2.0,1.0,99.0,17.0,3.0,0.1,True
Q082,624.0,chip,Shamkya,An6,484174.0,2136118.0,0.001,9.0,1.0,1.0,36.0,97.0,10.0,0.1,True
Q083,625.0,chip,Shamkya,An6,493512.0,2141484.0,0.001,4.0,1.0,1.0,19.0,106.0,11.0,0.1,True
Q084,626.0,chip,Shamkya,An6,485288.0,2143630.0,0.001,3.0,1.0,2.0,3.0,7.0,3.0,0.1,True
Q085,627.0,chip,Shamkya,An6,493711.0,2141182.0,0.001,2.0,1.0,1.0,59.0,8.0,1.0,0.1,True
Q086,628.0,chip,Shamkya,An6,486828.0,2141936.0,0.001,1.0,1.0,1.0,4.0,2.0,2.0,0.1,True
