sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
G/001,An6.T2.TR1.G1,grab,Shamkya,An6,,,0.01,44.8,2.06,1.64,159.0,118.0,28.9,0.27,False
G/002,An6.T2.TR1.G2,grab,Shamkya,An6,,,2.31,17.0,0.51,28.2,865.0,39.0,23.7,1.32,False
G/003,An6.T2.TR1.G3,grab,Shamkya,An6,,,10.25,24.0,0.56,46.6,716.0,24.0,34.8,1.71,False
G/004,An6.T2.TR1.G4,grab,Shamkya,An6,,,0.06,43.5,0.66,5.61,305.0,49.0,50.8,0.46,False
G/007,An6.T2.TR2.G1,grab,Shamkya,An6,,,4.12,24.2,0.92,52.8,2680.0,68.0,52.3,3.36,False
G/008,An6.T2.TR2.G2,grab,Shamkya,An6,,,0.02,51.8,0.48,0.66,205.0,47.0,2.6,0.16,False
G/009,An6.T2.TR2.G3,grab,Shamkya,An6,,,0.01,35.0,0.49,0.83,117.0,27.0,1.8,0.11,False
G/010,An6.T2.TR3.G1,grab,Shamkya,An6,,,0.01,32.3,0.6,0.34,83.8,74.0,4.1,0.09,False
G/011,An6.T2.TR4.G1,grab,Shamkya,An6,,,0.01,113.5,0.67,1.61,23.1,23.0,2.6,0.16,False
G/012,An6.T2.TR5.G1,grab,Shamkya,An6,,,0.14,114.0,2.65,2.14,115.5,143.0,12.5,0.32,False
G/013,An6.T2.TR6.G1,grab,Shamkya,An6,,,0.03,27.1,0.46,0.97,13.4,44.0,6.9,0.15,False
G/014,An6.T2.TR6.G2,grab,Shamkya,An6,,,0.15,18.8,0.81,1.7,40.9,47.0,13.7,0.34,False
G/015,An6.T2.TR6.G3,grab,Shamkya,An6,,,0.005,6.3,0.14,0.04,5.5,9.0,0.6,0.06,True
G/017,An6.T2.TR6.G4,grab,Shamkya,An6,,,0.005,0.3,0.025,0.02,2.4,1.0,4.5,0.01,True
G/018,An6.T2.TR6.G5,grab,Shamkya,An6,,,0.07,6.5,0.18,0.42,19.0,29.0,4.1,0.13,False
G/019,An6.T2.TR7.G1,grab,Shamkya,An6,,,0.005,12.5,0.1,0.08,3.8,13.0,0.5,0.03,True
G/021,An6.T2.TR7.G2,grab,Shamkya,An6,,,0.04,35.8,0.47,1.1,48.1,34.0,12.3,0.18,False
G/022,An6.T2.TR7.G3,grab,Shamkya,An6,,,0.09,12.8,0.5,1.28,21.1,54.0,13.9,0.39,False
G/023,An6.T2.TR7.G4,grab,Shamkya,An6,,,0.75,97.8,1.75,1.54,45.4,56.0,18.5,0.34,False
G/024,An6.T2.TR16.G1,grab,Shamkya,An6,,,0.04,69.6,0.56,2.39,71.2,78.0,13.4,0.17,False
G/025,An6.T2.TR16.G2,grab,Shamkya,An6,,,0.04,54.5,1.72,3.7,81.5,47.0,10.3,0.21,False
G/026,An6.T3.TR1.G1,grab,Shamkya,An6,,,0.01,28.4,0.47,0.94,36.9,57.0,3.6,0.15,False
G/027,An6.T3.TR3.G1,grab,Shamkya,An6,,,0.01,2.2,0.14,0.27,57.0,9.0,2.9,0.2,False
G/028,An6.T3.TR5.G1,grab,Shamkya,An6,,,0.005,0.6,0.07,0.02,32.6,16.0,1.5,0.14,True
G/029,An6.T3.TR6.G1,grab,Shamkya,An6,,,0.44,1.0,0.09,0.02,42.9,11.0,1.2,0.12,False
G/030,An6.T3.TR7.G1,grab,Shamkya,An6,,,0.74,9.8,0.21,25.4,352.0,21.0,172.5,3.83,False
G/031,An6.T3.TR7.G2,grab,Shamkya,An6,,,2.5,3.0,0.18,0.68,122.5,55.0,13.5,0.52,False
G/032,An6.T3.TR8.G1,grab,Shamkya,An6,,,0.05,2.7,0.12,0.03,101.5,25.0,2.2,0.11,False
G/033,An6.T3.TR9.G1,grab,Shamkya,An6,,,0.01,4.3,0.27,0.43,76.1,93.0,13.0,0.19,False
G/035,An6.T3.TR9.G2,grab,Shamkya,An6,,,8.79,2.3,0.12,0.1,9.0,17.0,3.6,0.18,False
G/036,An6.T3.TR9.G3,grab,Shamkya,An6,,,0.005,1.3,0.07,0.05,5.3,12.0,2.1,0.02,True
G/037,An6.T3.TR9.G4,grab,Shamkya,An6,,,0.01,1.4,0.1,0.02,9.8,16.0,2.1,0.03,False
G/038,An6.T3.TR9.G5,grab,Shamkya,An6,,,0.12,1.1,0.09,0.02,13.0,21.0,0.9,0.03,False
G/039,An6.T3.TR9.G6,grab,Shamkya,An6,,,0.005,3.1,0.36,0.13,29.8,76.0,4.3,0.02,True
G/040,An6.T3.TR11.G1,grab,Shamkya,An6,,,0.005,15.5,0.72,0.01,12.8,39.0,3.5,0.02,True
G/041,An6.T3.TR11.G2,grab,Shamkya,An6,,,0.01,4.6,0.16,0.53,54.6,137.0,25.8,0.09,False
G/042,An6.T5.TR1.G1,grab,Shamkya,An6,,,0.2,2.2,0.11,0.5,57.1,29.0,22.0,0.09,False
G/043,An6.T5.TR2.G1,grab,Shamkya,An6,,,0.03,0.8,0.05,0.12,5.6,9.0,2.9,0.03,False
G/044,An6.T5.TR2.G2,grab,Shamkya,An6,,,1.16,4.4,0.3,48.9,174.5,31.0,147.0,5.34,False
G/045,An6.T5.TR3.G1,grab,Shamkya,An6,,,0.005,0.4,0.025,0.06,4.6,1.0,0.3,0.03,True
G/046,An6.T5.TR3.G2,grab,Shamkya,An6,,,0.005,3.8,0.15,0.4,4.2,23.0,1.6,0.05,True
G/047,An6.T5.TR4.G1,grab,Shamkya,An6,,,0.005,3.4,0.12,0.29,35.6,33.0,3.7,0.11,True
G/050,An6.T5.TR5.G1,grab,Shamkya,An6,,,0.01,6.1,0.14,19.9,531.0,22.0,16.1,4.04,False
G/051,An7.TR1.G1,grab,Shamkya,An7,,,0.08,7.6,0.16,1.29,16.9,39.0,8.6,0.28,False
G/052,An7.TR1.G2,grab,Shamkya,An7,,,0.05,12.4,0.11,1.09,8.8,16.0,42.3,0.49,False
G/053,An7.TR2.G1,grab,Shamkya,An7,,,6.37,483.0,0.44,9.03,49.5,149.0,118.5,3.17,False
G/054,An7.TR2.G2,grab,Shamkya,An7,,,0.005,1.8,0.07,0.64,5.7,5.0,2.6,0.04,True
G/055,An7.TR2.G3,grab,Shamkya,An7,,,0.01,0.9,0.06,0.03,3.8,3.0,0.5,0.03,False
G/056,An7.TR3.G1,grab,Shamkya,An7,,,0.06,16.0,0.37,77.3,62.1,90.0,158.5,4.17,False
G/057,An7.TR3.G2,grab,Shamkya,An7,,,0.14,6.0,0.09,3.04,45.2,20.0,20.0,0.56,False
G/058,An7.TR3.G3,grab,Shamkya,An7,,,0.04,2.0,0.18,13.85,29.9,96.0,63.1,0.22,False
G/059,An7.TR5.G1,grab,Shamkya,An7,,,0.01,9.2,0.72,0.26,13.5,78.0,10.2,0.06,False
G/060,An7.TR5.G2,grab,Shamkya,An7,,,0.02,13.6,0.6,0.27,32.7,127.0,8.1,0.09,False
G/061,An7.TR5.G3,grab,Shamkya,An7,,,0.02,22.3,0.68,0.38,29.1,135.0,15.7,0.08,False
G/062,An7.TR6.G1,grab,Shamkya,An7,,,0.97,21.5,0.2,1.51,13.5,24.0,10.0,0.2,False
G/063,An7.TR6.G2,grab,Shamkya,An7,,,0.01,20.8,0.94,0.35,25.6,83.0,9.1,0.09,False
G/065,An7.TR6.G3,grab,Shamkya,An7,,,0.01,8.6,0.2,0.18,8.7,53.0,7.2,0.11,False
G/066,An7.TR7.G1,grab,Shamkya,An7,,,0.03,14.6,0.48,0.28,17.9,10.0,4.5,0.06,False
G/067,An7.TR7.G2,grab,Shamkya,An7,,,0.01,0.6,0.05,0.03,12.2,5.0,0.9,0.02,False
G/068,An7.TR7.G3,grab,Shamkya,An7,,,0.005,0.3,0.025,0.01,1.7,2.0,0.6,0.01,True
G/069,An7.TR8.G1,grab,Shamkya,An7,,,0.005,2.8,0.18,0.23,10.4,32.0,3.4,0.01,True
