sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,rl,from_m,to_m,interval_m,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
RC.BH19.012,890.0,rc,Shamkya,An1,498794.926,2144447.1,323.512,11.0,12.0,1.0,0.005,1.9,0.07,0.45,71.9,141.0,20.2,0.05,True
RC.BH19.013,891.0,rc,Shamkya,An1,498794.926,2144447.1,322.512,12.0,13.0,1.0,0.01,2.1,0.1,0.21,27.9,96.0,13.9,0.07,False
RC.BH19.014,892.0,rc,Shamkya,An1,498794.926,2144447.1,321.512,13.0,14.0,1.0,0.01,3.4,0.12,0.29,24.1,56.0,9.6,0.08,False
RC.BH19.015,893.0,rc,Shamkya,An1,498794.926,2144447.1,320.512,14.0,15.0,1.0,0.2,14.4,0.18,1.2,33.9,59.0,15.3,0.21,False
RC.BH19.016,894.0,rc,Shamkya,An1,498794.926,2144447.1,319.512,15.0,16.0,1.0,0.04,10.0,0.14,0.97,33.5,66.0,10.6,0.15,False
RC.BH19.017,895.0,rc,Shamkya,An1,498794.926,2144447.1,318.512,16.0,17.0,1.0,0.01,3.7,0.14,0.53,31.2,94.0,12.0,0.09,False
RC.BH19.018,896.0,rc,Shamkya,An1,498794.926,2144447.1,317.512,17.0,18.0,1.0,0.005,3.5,0.14,0.97,53.4,100.0,17.5,0.1,True
RC.BH19.019,897.0,rc,Shamkya,An1,498794.926,2144447.1,316.512,18.0,19.0,1.0,0.005,3.9,0.17,0.33,36.6,90.0,22.6,0.09,True
RC.BH19.020,898.0,rc,Shamkya,An1,498794.926,2144447.1,315.512,19.0,20.0,1.0,0.005,3.3,0.15,0.2,54.7,80.0,11.1,0.05,True
RC.BH19.021,899.0,rc,Shamkya,An1,498794.926,2144447.1,314.512,20.0,21.0,1.0,0.005,11.5,0.13,0.29,32.4,57.0,19.6,0.13,True
RC.BH19.022,900.0,rc,Shamkya,An1,498794.926,2144447.1,313.512,21.0,22.0,1.0,0.01,4.5,0.09,0.23,15.2,63.0,12.4,0.15,False
,901.0,rc,Shamkya,An1,498794.926,2144447.1,321.512,13.0,14.0,1.0,0.01,2.7,0.08,0.35,23.1,55.0,9.4,0.07,False
RC.BH19.023,902.0,rc,Shamkya,An1,498794.926,2144447.1,312.51,22.0,23.0,1.0,0.01,9.9,0.14,0.19,47.5,58.0,5.0,0.12,False
RC.BH19.024,903.0,rc,Shamkya,An1,498794.926,2144447.1,311.51,23.0,24.0,1.0,0.02,22.5,0.13,1.37,61.3,96.0,35.0,0.23,False
RC.BH19.025,904.0,rc,Shamkya,An1,498794.926,2144447.1,310.51,24.0,25.0,1.0,0.01,53.9,0.3,0.4,43.8,71.0,6.6,0.27,False
RC.BH19.026,905.0,rc,Shamkya,An1,498794.926,2144447.1,309.51,25.0,26.0,1.0,0.29,27.4,0.65,3.3,31.4,145.0,32.2,0.6,False
RC.BH19.027,906.0,rc,Shamkya,An1,498794.926,2144447.1,308.51,26.0,27.0,1.0,0.4,43.7,0.9,1.44,56.8,220.0,19.0,0.37,False
,907.0,rc,Shamkya,An1,498794.926,2144447.1,,,,,0.005,0.3,0.025,0.02,2.0,4.0,12.0,0.01,True
RC.BH19.028,908.0,rc,Shamkya,An1,498794.926,2144447.1,307.51,27.0,28.0,1.0,0.51,40.4,1.78,1.44,78.4,226.0,25.5,0.67,False
RC.BH19.029,909.0,rc,Shamkya,An1,498794.926,2144447.1,306.51,28.0,29.0,1.0,0.13,89.9,1.58,1.28,42.4,162.0,38.7,1.18,False
RC.BH19.030,910.0,rc,Shamkya,An1,498794.926,2144447.1,305.51,29.0,30.0,1.0,0.02,4.3,0.16,0.25,9.3,144.0,6.7,0.06,False
RC.BH19.031,911.0,rc,Shamkya,An1,498794.926,2144447.1,304.51,30.0,31.0,1.0,0.01,1.6,0.07,0.19,6.7,170.0,5.3,0.05,False
RC.BH19.032,912.0,rc,Shamkya,An1,498794.926,2144447.1,303.51,31.0,32.0,1.0,0.01,3.9,0.23,0.47,31.1,163.0,9.8,0.06,False
RC.BH19.033,913.0,rc,Shamkya,An1,498794.926,2144447.1,302.51,32.0,33.0,1.0,0.01,1.2,0.09,0.16,6.9,172.0,5.8,0.04,False
RC.BH19.034,914.0,rc,Shamkya,An1,498794.926,2144447.1,301.51,33.0,34.0,1.0,0.01,6.2,0.2,0.46,41.0,145.0,8.8,0.18,False
RC.BH19.035,915.0,rc,Shamkya,An1,498794.926,2144447.1,300.51,34.0,35.0,1.0,0.01,9.5,0.24,0.34,45.1,160.0,9.9,0.07,False
RC.BH19.036,916.0,rc,Shamkya,An1,498794.926,2144447.1,299.51,35.0,36.0,1.0,0.005,3.5,0.2,0.52,31.7,172.0,8.8,0.15,True
RC.BH19.037,917.0,rc,Shamkya,An1,498794.926,2144447.1,298.51,36.0,37.0,1.0,0.01,13.0,0.18,3.19,70.5,231.0,12.9,0.22,False
