sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
T2-TR1-001,AN6/041,trench,Shamkya,An6,,,0.01,1.9,0.07,0.15,81.4,150.0,3.1,0.05,True
T2-TR1-002,AN6/042,trench,Shamkya,An6,,,0.01,2.0,0.09,0.07,36.0,69.0,6.4,0.06,True
T2-TR1-003,AN6/043,trench,Shamkya,An6,,,0.01,2.6,0.1,0.12,50.3,62.0,6.0,0.05,True
T2-TR1-004,AN6/044,trench,Shamkya,An6,,,0.01,2.2,0.09,0.13,84.6,76.0,3.4,0.03,True
T2-TR1-005,AN6/045,trench,Shamkya,An6,,,0.01,1.8,0.1,0.14,26.2,81.0,3.6,0.03,True
T2-TR1-006,AN6/046,trench,Shamkya,An6,,,0.01,32.2,1.09,1.09,92.0,158.0,15.6,0.16,True
T2-TR1-007,AN6/047,trench,Shamkya,An6,,,0.01,24.4,1.4,0.16,61.4,79.0,13.0,0.1,True
T2-TR1-008,AN6/048,trench,Shamkya,An6,,,0.01,11.1,0.57,0.2,33.2,115.0,9.4,0.14,True
T2-TR1-009,AN6/049,trench,Shamkya,An6,,,0.01,5.5,0.12,0.12,48.3,175.0,5.5,0.05,True
Duplicate of (T2-TR1-020),AN6/050,trench,Shamkya,An6,,,0.1,20.5,0.81,0.52,329.0,232.0,7.9,0.14,False
T2-TR1-010,AN6/051,trench,Shamkya,An6,,,0.01,4.4,0.11,0.09,43.8,159.0,5.8,0.07,True
T2-TR1-011,AN6/052,trench,Shamkya,An6,,,0.01,3.8,0.14,0.29,47.8,67.0,3.6,0.04,True
T2-TR1-012,AN6/053,trench,Shamkya,An6,,,0.02,3.5,0.19,0.15,24.0,26.0,2.9,0.03,False
T2-TR1-013,AN6/054,trench,Shamkya,An6,,,0.01,3.2,0.14,0.32,42.2,44.0,8.5,0.05,True
T2-TR1-014,AN6/055,trench,Shamkya,An6,,,0.01,1.5,0.08,0.17,54.6,57.0,4.2,0.03,True
T2-TR1-015,AN6/056,trench,Shamkya,An6,,,0.01,1.3,0.08,0.14,56.9,55.0,2.9,0.03,True
T2-TR1-016,AN6/057,trench,Shamkya,An6,,,0.01,1.5,0.09,0.13,44.9,109.0,10.1,0.08,True
T2-TR1-017,AN6/058,trench,Shamkya,An6,,,0.01,3.4,0.12,0.15,70.7,103.0,6.8,0.05,True
T2-TR1-018,AN6/059,trench,Shamkya,An6,,,0.04,4.1,0.09,0.17,68.3,119.0,5.5,0.06,False
T2-TR1-019,AN6/060,trench,Shamkya,An6,,,0.17,19.2,0.75,1.18,380.0,215.0,10.6,0.2,False
T2-TR1-020,AN6/061,trench,Shamkya,An6,,,0.08,20.3,0.83,0.47,339.0,238.0,7.7,0.15,False
Blank,AN6/062,trench,Shamkya,An6,,,0.01,0.05,0.025,0.03,2.1,2.0,4.1,0.01,True
T2-TR1-021,AN6/063,trench,Shamkya,An6,,,0.03,6.2,0.21,0.18,221.0,136.0,5.1,0.1,False
T2-TR1-022,AN6/064,trench,Shamkya,An6,,,0.03,5.8,0.13,0.13,132.5,90.0,5.1,0.06,False
T2-TR1-023,AN6/065,trench,Shamkya,An6,,,0.01,2.5,0.07,0.11,82.2,78.0,4.3,0.03,True
T2-TR1-024,AN6/066,trench,Shamkya,An6,,,0.01,1.6,0.08,0.16,90.4,65.0,4.7,0.04,True
T2-TR1-025,AN6/067,trench,Shamkya,An6,,,0.01,1.5,0.08,0.15,92.1,85.0,6.4,0.03,True
T2-TR1-026,AN6/068,trench,Shamkya,An6,,,0.01,1.3,0.08,0.08,40.7,53.0,4.0,0.03,True
T2-TR1-027,AN6/069,trench,Shamkya,An6,,,0.01,1.0,0.07,0.05,43.7,44.0,2.0,0.02,True
T2-TR1-028,AN6/070,trench,Shamkya,An6,,,0.01,1.9,0.07,0.1,28.4,82.0,2.2,0.03,True
T2-TR1-029,AN6/071,trench,Shamkya,An6,,,0.01,2.1,0.08,0.06,87.7,78.0,5.5,0.05,True
T2-TR1-030,AN6/072,trench,Shamkya,An6,,,0.04,25.3,0.67,0.19,86.7,70.0,4.9,0.16,False
T2-TR1-031,AN6/073,trench,Shamkya,An6,,,0.05,4.7,0.14,0.08,94.3,82.0,3.1,0.03,False
Blank,AN6/074,trench,Shamkya,An6,,,0.01,0.4,0.025,0.02,2.1,2.0,4.0,0.01,True
Duplicate of (T2-TR1-031),AN6/075,trench,Shamkya,An6,,,0.07,4.5,0.13,0.08,96.0,83.0,3.2,0.04,False
T2-TR1-032,AN6/076,trench,Shamkya,An6,,,0.02,7.6,0.17,0.1,63.3,54.0,2.5,0.05,False
T2-TR1-033,AN6/077,trench,Shamkya,An6,,,0.01,2.3,0.06,0.07,61.1,48.0,1.6,0.02,True
T2-TR1-034,AN6/078,trench,Shamkya,An6,,,0.01,1.2,0.025,0.05,63.6,53.0,1.4,0.02,True
T2-TR1-035,AN6/079,trench,Shamkya,An6,,,0.01,1.4,0.025,0.07,37.8,57.0,2.1,0.02,True
T2-TR1-036,AN6/080,trench,Shamkya,An6,,,0.01,3.1,0.08,0.1,111.0,91.0,3.8,0.02,True
T2-TR1-037,AN6/081,trench,Shamkya,An6,,,0.02,8.7,0.2,0.2,91.9,103.0,6.4,0.04,False
T2-TR1-038,AN6/082,trench,Shamkya,An6,,,0.02,6.3,0.16,0.13,48.1,109.0,9.0,0.03,False
T2-TR1-039,AN6/083,trench,Shamkya,An6,,,0.01,3.4,0.1,0.2,97.9,102.0,5.7,0.05,True
T2-TR1-040,AN6/084,trench,Shamkya,An6,,,0.01,16.3,0.58,0.18,86.9,178.0,10.8,0.07,True
T2-TR1-041,AN6/085,trench,Shamkya,An6,,,0.01,15.1,0.37,0.35,55.8,26.0,9.8,0.09,True
T2-TR1-042,AN6/086,trench,Shamkya,An6,,,0.02,7.1,0.2,0.16,23.2,43.0,5.9,0.08,False
T2-TR1-043,AN6/087,trench,Shamkya,An6,,,0.02,3.1,0.12,0.13,26.5,25.0,5.2,0.1,False
T2-TR1-044,AN6/088,trench,Shamkya,An6,,,0.01,4.8,0.13,0.24,52.7,75.0,3.8,0.03,True
T2-TR1-045,AN6/089,trench,Shamkya,An6,,,0.01,3.7,0.11,0.17,33.4,74.0,3.5,0.03,True
T2-TR1-046,AN6/090,trench,Shamkya,An6,,,0.01,1.4,0.08,0.09,5.8,25.0,5.8,0.04,True
T2-TR1-047,AN6/091,trench,Shamkya,An6,,,0.01,2.2,0.08,0.08,107.5,66.0,1.9,0.03,True
T2-TR1-048,AN6/092,trench,Shamkya,An6,,,0.01,2.6,0.08,0.12,77.7,105.0,3.1,0.03,True
T2-TR1-049,AN6/093,trench,Shamkya,An6,,,0.01,4.0,0.14,0.17,71.5,127.0,4.1,0.03,True
Duplicate of (T2-TR2-011),AN6/094,trench,Shamkya,An6,,,0.52,48.1,1.15,11.35,1800.0,84.0,20.0,1.25,False
T2-TR1-050,AN6/095,trench,Shamkya,An6,,,0.01,2.7,0.13,0.09,10.4,43.0,7.8,0.04,True
T2-TR1-051,AN6/096,trench,Shamkya,An6,,,0.01,2.6,0.15,0.11,24.7,43.0,7.0,0.05,True
T2-TR1-052,AN6/097,trench,Shamkya,An6,,,0.01,1.5,0.07,0.08,6.8,142.0,5.2,0.03,True
T2-TR1-053,AN6/098,trench,Shamkya,An6,,,0.01,1.3,0.06,0.03,8.7,97.0,5.6,0.02,True
T2-TR1-054,AN6/099,trench,Shamkya,An6,,,0.01,1.4,0.09,0.05,21.5,70.0,7.9,0.03,True
T2-TR1-055,AN6/100,trench,Shamkya,An6,,,0.01,1.4,0.08,0.05,16.2,114.0,6.7,0.02,True
T2-TR1-056,AN6/101,trench,Shamkya,An6,,,0.01,2.9,0.14,0.12,23.2,167.0,6.1,0.04,True
T2-TR2-001,AN6/102,trench,Shamkya,An6,,,0.01,0.4,0.07,0.04,65.3,45.0,0.9,0.02,True
T2-TR2-002,AN6/103,trench,Shamkya,An6,,,0.01,0.5,0.07,0.04,62.2,44.0,0.7,0.02,True
T2-TR2-003,AN6/104,trench,Shamkya,An6,,,0.01,1.0,0.06,0.06,33.7,45.0,0.6,0.01,True
T2-TR2-004,AN6/105,trench,Shamkya,An6,,,0.01,0.6,0.07,0.08,67.7,39.0,1.2,0.02,True
T2-TR2-005,AN6/106,trench,Shamkya,An6,,,0.01,0.8,0.07,0.1,58.2,49.0,2.3,0.03,True
T2-TR2-006,AN6/107,trench,Shamkya,An6,,,0.01,2.7,0.15,0.17,56.4,57.0,4.8,0.03,True
T2-TR2-007,AN6/108,trench,Shamkya,An6,,,0.01,1.8,0.1,0.14,91.1,109.0,5.3,0.02,True
T2-TR2-008,AN6/109,trench,Shamkya,An6,,,0.02,1.7,0.08,0.26,85.5,94.0,6.9,0.02,False
T2-TR2-009,AN6/110,trench,Shamkya,An6,,,0.02,2.8,0.14,0.29,130.0,86.0,9.0,0.04,False
T2-TR2-010,AN6/111,trench,Shamkya,An6,,,0.04,10.5,0.18,0.21,210.0,82.0,3.5,0.07,False
T2-TR2-011,AN6/112,trench,Shamkya,An6,,,0.31,49.1,1.0,9.25,1700.0,76.0,20.3,1.02,False
Blank,AN6/113,trench,Shamkya,An6,,,0.01,0.2,0.025,0.02,2.2,2.0,3.7,0.01,True
T2-TR2-012,AN6/114,trench,Shamkya,An6,,,0.03,14.7,0.35,0.23,325.0,230.0,9.7,0.16,False
T2-TR2-013,AN6/115,trench,Shamkya,An6,,,0.02,13.8,0.36,0.25,129.0,191.0,6.7,0.12,False
T2-TR2-014,AN6/116,trench,Shamkya,An6,,,0.02,57.7,0.84,0.38,277.0,89.0,2.9,0.2,False
T2-TR2-015,AN6/117,trench,Shamkya,An6,,,0.03,39.8,0.85,0.45,159.0,89.0,3.1,0.15,False
T2-TR2-016,AN6/118,trench,Shamkya,An6,,,0.02,28.8,0.5,0.71,143.0,30.0,2.3,0.1,False
T2-TR2-017,AN6/119,trench,Shamkya,An6,,,0.06,14.0,0.32,0.34,211.0,119.0,4.7,0.16,False
Duplicate of (T2-TR2-014),AN6/120,trench,Shamkya,An6,,,0.06,60.7,0.9,0.39,263.0,88.0,3.0,0.2,False
T2-TR2-018,AN6/121,trench,Shamkya,An6,,,0.03,15.9,0.24,0.38,70.8,85.0,6.3,0.08,False
T2-TR2-019,AN6/122,trench,Shamkya,An6,,,0.01,20.5,0.35,0.54,149.0,128.0,5.5,0.09,True
T2-TR3-001,AN6/123,trench,Shamkya,An6,,,0.01,4.9,0.25,0.49,43.8,120.0,6.0,0.03,True
T2-TR3-002,AN6/124,trench,Shamkya,An6,,,0.01,3.0,0.13,0.36,46.6,68.0,4.1,0.02,True
T2-TR3-003,AN6/125,trench,Shamkya,An6,,,0.01,0.8,0.1,0.1,120.5,48.0,1.3,0.03,True
T2-TR3-004,AN6/126,trench,Shamkya,An6,,,0.01,1.6,0.06,0.05,56.7,71.0,0.7,0.01,True
T2-TR3-005,AN6/127,trench,Shamkya,An6,,,0.01,0.8,0.05,0.05,55.5,48.0,0.7,0.02,True
T2-TR3-006,AN6/128,trench,Shamkya,An6,,,0.01,1.1,0.07,0.07,66.9,54.0,0.5,0.02,True
T2-TR3-007,AN6/129,trench,Shamkya,An6,,,0.01,0.9,0.05,0.04,57.4,49.0,0.6,0.01,True
T2-TR3-008,AN6/130,trench,Shamkya,An6,,,0.01,1.5,0.07,0.06,101.0,58.0,1.0,0.02,True
T2-TR3-009,AN6/131,trench,Shamkya,An6,,,0.01,1.2,0.07,0.06,47.8,50.0,0.7,0.02,True
T2-TR3-010,AN6/132,trench,Shamkya,An6,,,0.01,5.1,0.12,0.16,68.0,59.0,1.6,0.02,True
T2-TR3-011,AN6/133,trench,Shamkya,An6,,,0.01,16.6,0.16,0.36,99.0,77.0,2.4,0.04,True
T2-TR3-012,AN6/134,trench,Shamkya,An6,,,0.01,58.4,1.35,0.32,124.0,76.0,3.8,0.11,True
T2-TR3-013,AN6/135,trench,Shamkya,An6,,,0.01,23.6,0.49,0.28,75.0,71.0,3.7,0.08,True
Blank,AN6/136,trench,Shamkya,An6,,,0.01,0.3,0.025,0.02,3.1,2.0,3.9,0.01,True
T2-TR3-014,AN6/137,trench,Shamkya,An6,,,0.01,9.1,0.16,0.2,57.9,75.0,4.2,0.02,True
T2-TR3-015,AN6/138,trench,Shamkya,An6,,,0.01,5.7,0.15,0.2,64.1,67.0,3.8,0.04,True
T2-TR3-016,AN6/139,trench,Shamkya,An6,,,0.01,5.3,0.17,0.24,65.9,71.0,3.7,0.03,True
T2-TR3-017,AN6/140,trench,Shamkya,An6,,,0.01,6.1,0.17,0.34,49.1,73.0,5.4,0.05,True
T2-TR3-018,AN6/141,trench,Shamkya,An6,,,0.01,4.0,0.15,0.11,18.6,24.0,8.8,0.1,True
T2-TR3-019,AN6/142,trench,Shamkya,An6,,,0.01,2.9,0.16,0.1,21.8,23.0,9.4,0.08,True
T2-TR3-020,AN6/143,trench,Shamkya,An6,,,0.01,0.9,0.1,0.05,8.1,9.0,7.8,0.04,True
T2-TR3-021,AN6/144,trench,Shamkya,An6,,,0.01,7.4,0.26,0.19,30.9,111.0,10.4,0.05,True
T2-TR3-022,AN6/145,trench,Shamkya,An6,,,0.01,6.4,0.16,0.25,37.2,118.0,7.8,0.03,True
T2-TR3-023,AN6/146,trench,Shamkya,An6,,,0.01,3.7,0.14,0.12,34.1,117.0,6.0,0.03,True
T2-TR3-024,AN6/147,trench,Shamkya,An6,,,0.01,2.4,0.11,0.18,33.1,118.0,4.9,0.03,True
T2-TR3-025,AN6/148,trench,Shamkya,An6,,,0.01,2.4,0.1,0.22,46.0,172.0,6.4,0.03,True
T2-TR3-026,AN6/149,trench,Shamkya,An6,,,0.01,4.3,0.11,0.21,49.6,118.0,7.1,0.03,True
T2-TR3-027,AN6/150,trench,Shamkya,An6,,,0.01,1.3,0.09,0.05,15.6,51.0,9.2,0.05,True
T2-TR4-001,AN6/151,trench,Shamkya,An6,,,0.01,13.2,0.16,0.11,13.4,68.0,8.0,0.03,True
T2-TR4-002,AN6/152,trench,Shamkya,An6,,,0.01,10.4,0.26,0.1,14.5,95.0,2.8,0.03,True
T2-TR4-003,AN6/153,trench,Shamkya,An6,,,0.01,2.5,0.06,0.09,9.8,153.0,3.0,0.02,True
T2-TR4-004,AN6/154,trench,Shamkya,An6,,,0.01,2.5,0.07,0.12,17.0,134.0,3.2,0.02,True
T2-TR4-005,AN6/155,trench,Shamkya,An6,,,0.01,3.5,0.1,0.11,54.1,136.0,3.7,0.02,True
Triplicate (T2-TR2-011),AN6/156,trench,Shamkya,An6,,,0.79,45.1,1.07,9.59,1990.0,77.0,20.4,1.21,False
T2-TR4-006,AN6/157,trench,Shamkya,An6,,,0.01,3.5,0.08,0.13,33.5,181.0,4.1,0.06,True
T2-TR4-007,AN6/158,trench,Shamkya,An6,,,0.01,5.7,0.16,0.27,86.7,279.0,5.6,0.15,True
T2-TR4-008,AN6/159,trench,Shamkya,An6,,,0.01,6.8,0.24,0.22,91.3,299.0,6.9,0.15,True
T2-TR4-009,AN6/160,trench,Shamkya,An6,,,0.01,18.4,0.67,0.25,61.0,158.0,7.5,0.13,True
T2-TR4-010,AN6/161,trench,Shamkya,An6,,,0.01,7.8,0.4,0.16,44.3,52.0,11.3,0.08,True
T2-TR4-011,AN6/162,trench,Shamkya,An6,,,0.01,3.2,0.13,0.04,7.2,26.0,12.9,0.05,True
T2-TR4-012,AN6/163,trench,Shamkya,An6,,,0.01,2.4,0.15,0.05,3.6,18.0,16.7,0.03,True
T2-TR4-013,AN6/164,trench,Shamkya,An6,,,0.03,21.1,0.49,0.38,32.8,35.0,13.0,0.13,False
BLANK,AN6/165,trench,Shamkya,An6,,,0.01,0.3,0.025,0.02,3.2,4.0,3.7,0.01,True
T2-TR4-014,AN6/166,trench,Shamkya,An6,,,0.01,45.0,0.75,0.42,27.5,35.0,3.3,0.1,True
T2-TR4-015,AN6/167,trench,Shamkya,An6,,,0.01,22.7,1.31,0.26,45.7,95.0,7.9,0.17,True
T2-TR4-016,AN6/168,trench,Shamkya,An6,,,0.01,32.2,1.79,0.45,53.1,135.0,10.9,0.16,True
T2-TR4-017,AN6/169,trench,Shamkya,An6,,,0.01,27.5,1.61,0.33,63.7,156.0,9.6,0.12,True
T2-TR4-018,AN6/170,trench,Shamkya,An6,,,0.01,8.6,0.25,0.39,72.0,108.0,6.4,0.05,True
T2-TR4-019,AN6/171,trench,Shamkya,An6,,,0.01,9.8,0.15,0.3,53.6,103.0,3.7,0.03,True
T2-TR4-020,AN6/172,trench,Shamkya,An6,,,0.01,6.2,0.19,0.21,105.0,140.0,6.3,0.04,True
T2-TR4-021,AN6/173,trench,Shamkya,An6,,,0.01,7.1,0.21,0.27,27.5,102.0,9.4,0.05,True
T2-TR4-022,AN6/174,trench,Shamkya,An6,,,0.01,9.5,0.3,0.38,58.7,109.0,6.9,0.04,True
T2-TR4-023,AN6/175,trench,Shamkya,An6,,,0.01,3.2,0.13,0.21,32.3,57.0,2.7,0.03,True
T2-TR4-024,AN6/176,trench,Shamkya,An6,,,0.01,3.1,0.25,0.22,76.0,61.0,3.7,0.04,True
T2-TR4-025,AN6/177,trench,Shamkya,An6,,,0.01,3.6,0.16,0.23,48.5,65.0,3.0,0.02,True
T2-TR4-026,AN6/178,trench,Shamkya,An6,,,0.01,8.1,0.28,0.17,36.8,73.0,4.5,0.04,True
Duplicate of of (T2-TR4-013),AN6/179,trench,Shamkya,An6,,,0.01,24.3,0.64,0.43,30.6,33.0,13.0,0.12,True
T2-TR4-027,AN6/180,trench,Shamkya,An6,,,0.01,3.9,0.11,0.27,25.0,57.0,3.1,0.02,True
T2-TR6-001,AN6/181,trench,Shamkya,An6,,,0.05,11.4,0.22,0.23,79.8,130.0,3.3,0.05,False
T2-TR6-002,AN6/182,trench,Shamkya,An6,,,0.03,14.1,0.17,0.1,51.5,135.0,1.5,0.04,False
T2-TR6-003,AN6/183,trench,Shamkya,An6,,,0.03,11.2,0.22,0.21,112.5,119.0,2.3,0.05,False
T2-TR6-004,AN6/184,trench,Shamkya,An6,,,0.02,10.5,0.24,0.54,55.1,83.0,7.5,0.07,False
T2-TR6-005,AN6/185,trench,Shamkya,An6,,,0.02,8.2,0.22,0.27,110.5,105.0,2.7,0.04,False
T2-TR6-006,AN6/186,trench,Shamkya,An6,,,0.02,9.6,0.25,0.32,40.5,116.0,4.0,0.06,False
T2-TR6-007,AN6/187,trench,Shamkya,An6,,,0.01,3.8,0.14,0.25,17.8,22.0,3.4,0.04,True
T2-TR6-008,AN6/188,trench,Shamkya,An6,,,0.01,4.3,0.13,0.1,42.3,120.0,9.6,0.03,True
T2-TR6-009,AN6/189,trench,Shamkya,An6,,,0.03,5.8,0.16,0.34,75.8,45.0,11.6,0.05,False
Blank,AN6/190,trench,Shamkya,An6,,,0.01,0.5,0.05,0.05,3.6,2.0,4.3,0.01,True
T2-TR6-010,AN6/191,trench,Shamkya,An6,,,0.02,7.9,0.17,0.25,76.3,71.0,12.3,0.05,False
T2-TR6-011,AN6/192,trench,Shamkya,An6,,,0.02,6.1,0.19,0.22,59.3,58.0,7.2,0.06,False
T2-TR6-012,AN6/193,trench,Shamkya,An6,,,0.02,6.4,0.16,0.21,106.0,122.0,4.8,0.04,False
T2-TR6-013,AN6/194,trench,Shamkya,An6,,,0.02,5.5,0.18,0.19,51.6,77.0,10.3,0.07,False
T2-TR6-014,AN6/195,trench,Shamkya,An6,,,0.06,7.9,0.33,0.34,85.2,149.0,5.8,0.06,False
T2-TR6-015,AN6/196,trench,Shamkya,An6,,,0.01,64.2,1.39,0.22,78.1,76.0,6.7,0.18,True
T2-TR6-016,AN6/197,trench,Shamkya,An6,,,0.02,31.8,0.64,0.17,53.0,97.0,4.3,0.11,False
T2-TR6-017,AN6/198,trench,Shamkya,An6,,,0.15,67.2,1.25,1.02,66.9,63.0,10.3,0.17,False
T2-TR6-018,AN6/199,trench,Shamkya,An6,,,0.07,86.8,1.31,1.59,35.0,68.0,8.9,0.18,False
T2-TR6-019,AN6/200,trench,Shamkya,An6,,,0.09,47.0,1.37,2.12,21.5,41.0,13.1,0.33,False
T2-TR6-020,AN6/201,trench,Shamkya,An6,,,0.04,24.0,0.49,1.18,7.5,25.0,6.6,0.22,False
T2-TR6-021,AN6/202,trench,Shamkya,An6,,,0.16,28.9,0.42,0.64,66.1,114.0,5.7,0.18,False
Duplicate of (T2-TR6-009),AN6/203,trench,Shamkya,An6,,,0.02,5.5,0.16,0.32,79.1,44.0,12.1,0.05,False
T2-TR6-022,AN6/204,trench,Shamkya,An6,,,0.01,37.5,0.96,0.09,26.6,129.0,7.9,0.1,True
T2-TR6-023,AN6/205,trench,Shamkya,An6,,,0.01,34.9,0.96,0.33,83.4,191.0,14.9,0.18,True
T2-TR6-024,AN6/206,trench,Shamkya,An6,,,0.02,16.1,0.41,0.52,80.6,122.0,12.0,0.13,False
T2-TR6-025,AN6/207,trench,Shamkya,An6,,,0.02,9.4,0.23,0.41,73.4,156.0,8.1,0.08,False
T2-TR6-026,AN6/208,trench,Shamkya,An6,,,0.03,14.4,0.26,0.52,77.0,127.0,7.5,0.06,False
T2-TR6-027,AN6/209,trench,Shamkya,An6,,,0.02,9.3,0.21,0.35,73.1,113.0,6.2,0.05,False
T2-TR6-028,AN6/210,trench,Shamkya,An6,,,0.03,20.0,0.44,0.24,46.8,170.0,8.4,0.1,False
T2-TR6-029,AN6/211,trench,Shamkya,An6,,,0.08,66.2,1.73,0.92,65.1,158.0,10.5,0.23,False
T2-TR6-030,AN6/212,trench,Shamkya,An6,,,0.22,81.6,2.89,2.0,251.0,151.0,11.4,0.41,False
T2-TR6-031,AN6/213,trench,Shamkya,An6,,,0.06,44.1,0.71,1.81,70.8,192.0,10.8,0.29,False
T2-TR6-032,AN6/214,trench,Shamkya,An6,,,0.06,31.4,0.62,3.9,68.4,146.0,10.8,0.19,False
T2-TR6-033,AN6/215,trench,Shamkya,An6,,,0.09,32.0,0.68,1.22,61.8,138.0,7.8,0.22,False
T2-TR6-034,AN6/216,trench,Shamkya,An6,,,0.18,88.7,2.61,6.37,315.0,231.0,21.0,0.32,False
T2-TR6-035,AN6/217,trench,Shamkya,An6,,,0.05,74.1,2.39,0.68,65.6,183.0,6.1,0.43,False
T2-TR6-036,AN6/218,trench,Shamkya,An6,,,0.09,65.2,1.94,3.05,141.5,193.0,12.5,0.29,False
Blank,AN6/219,trench,Shamkya,An6,,,0.01,0.3,0.025,0.02,1.6,1.0,6.2,0.01,True
T2-TR6-037,AN6/220,trench,Shamkya,An6,,,0.2,59.2,1.54,4.15,107.0,103.0,20.7,0.31,False
T2-TR6-038,AN6/221,trench,Shamkya,An6,,,0.66,17.1,0.38,0.13,33.3,150.0,6.2,0.21,False
T2-TR6-039,AN6/222,trench,Shamkya,An6,,,0.06,19.7,0.34,0.54,52.1,120.0,9.6,0.13,False
T2-TR6-040,AN6/223,trench,Shamkya,An6,,,0.02,16.2,0.64,0.44,42.9,51.0,8.0,0.14,False
