Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
C0001,0.01,0.1,1.1,0.23,25.8,10.6,<0.05,74
C0002,0.02,0.18,22.4,1.13,31.7,30.1,0.32,67
C0003,0.01,0.1,1.3,0.52,17.6,23.3,<0.05,51
C0004,<0.01,0.1,3.8,0.44,14.9,18.7,<0.05,47
C0005,0.13,0.19,36.3,2.82,26,43.2,0.06,81
C0006,<0.01,0.09,3.3,0.22,25.1,17.4,<0.05,94
C0007,<0.01,0.09,1.1,0.17,20.5,9.5,<0.05,39
C0008,<0.01,0.15,3.3,0.49,37.3,15.1,0.1,71
C0009,<0.01,0.08,6.2,0.16,31.3,14.2,0.05,88
C0010,0.01,0.45,12,0.09,8.6,11,0.93,105
C0011,<0.01,0.15,4.9,0.24,21.7,6.4,0.11,54
C0012,<0.01,0.08,5.5,0.66,24.1,11,0.06,24
C0013,0.01,0.16,1.3,0.15,17.4,9.6,0.11,214
C0014,0.01,0.18,2.2,0.17,61.5,21.7,0.19,245
C0015,<0.01,0.11,6.7,0.24,77.6,13.9,0.31,145
C0016,0.01,0.1,2.2,0.49,97.5,2.1,0.22,22
C0017,<0.01,0.06,3.5,0.12,10.8,1.5,0.27,19
C0018,0.05,0.19,26.8,0.44,28.8,9.2,0.53,55
C0019,0.03,0.23,34.8,0.25,148.5,3.9,2.33,78
C0020,0.03,0.16,13.4,0.23,66.7,9.9,0.52,152
C0021,0.02,0.1,7.4,0.31,7.8,3.4,0.55,29
C0022,<0.01,0.02,0.4,0.03,18,29.6,<0.05,9
C0023,0.02,0.12,2.2,0.6,105.5,2.1,0.32,22
C0024,0.45,0.29,22.3,7.21,86.6,5.2,2.13,34
C0025,0.01,0.1,7.4,0.45,11.7,9.7,0.23,176
C0026,0.01,0.08,4.3,0.25,13.9,4.5,0.18,39
C0027,<0.01,0.11,5.4,0.62,53.1,4.6,0.2,164
C0028,<0.01,0.06,4.2,0.2,6.6,5.7,0.08,71
C0029,<0.01,0.04,2.6,0.11,3.7,6.7,<0.05,36
C0030,0.01,0.04,2,0.13,9.2,10.6,0.07,69
C0031,0.02,0.11,8.4,0.37,9.6,4.1,0.56,33
C0032,<0.01,0.02,0.7,0.07,3.9,5.6,<0.05,43
C0033,<0.01,0.1,15.9,0.55,33.3,18.3,0.4,118
C0034,<0.01,0.05,5.6,0.15,18.5,12.2,<0.05,45
