ag_ppm,anomaly_id,as_ppm,au_ppm,below_detection,bi_ppm,cu_ppm,easting,interval_m,lab_id,northing,pb_ppm,project_area,sample_id,sample_type,sb_ppm,zn_ppm,,,,,
,,,,FALSE,,,,,,ppm,,Shamkya,,core,,,,,,,
0.1,,1.1,0.01,TRUE,0.23,25.8,,,,18.05,10.6,Shamkya,,core,0.05,74,,,,,
0.18,,22.4,0.02,FALSE,1.13,31.7,,,,7.8,30.1,Shamkya,,core,0.32,67,,,,,
0.1,,1.3,0.01,TRUE,0.52,17.6,,,,15.9,23.3,Shamkya,,core,0.05,51,,,,,
0.1,,3.8,0.01,TRUE,0.44,14.9,,,,15.65,18.7,Shamkya,,core,0.05,47,,,,,
0.19,,36.3,0.13,FALSE,2.82,26,,,,8.89,43.2,Shamkya,,core,0.06,81,,,,,
0.09,,3.3,0.01,TRUE,0.22,25.1,,,,19.4,17.4,Shamkya,,core,0.05,94,,,,,
0.09,,1.1,0.01,TRUE,0.17,20.5,,,,16.3,9.5,Shamkya,,core,0.05,39,,,,,
0.15,,3.3,0.01,TRUE,0.49,37.3,,,,12.25,15.1,Shamkya,,core,0.1,71,,,,,
0.08,,6.2,0.01,TRUE,0.16,31.3,,,,14.1,14.2,Shamkya,,core,0.05,88,,,,,
0.45,,12,0.01,FALSE,0.09,8.6,,,,15.9,11,Shamkya,,core,0.93,105,,,,,
0.15,,4.9,0.01,TRUE,0.24,21.7,,,,8.15,6.4,Shamkya,,core,0.11,54,,,,,
0.08,,5.5,0.01,TRUE,0.66,24.1,,,,6.49,11,Shamkya,,core,0.06,24,,,,,
0.16,,1.3,0.01,FALSE,0.15,17.4,,,,20.1,9.6,Shamkya,,core,0.11,214,,,,,
0.18,,2.2,0.01,FALSE,0.17,61.5,,,,25.7,21.7,Shamkya,,core,0.19,245,,,,,
0.11,,6.7,0.01,TRUE,0.24,77.6,,,,14.25,13.9,Shamkya,,core,0.31,145,,,,,
0.1,,2.2,0.01,FALSE,0.49,97.5,,,,1.95,2.1,Shamkya,,core,0.22,22,,,,,
0.06,,3.5,0.01,TRUE,0.12,10.8,,,,2.26,1.5,Shamkya,,core,0.27,19,,,,,
0.19,,26.8,0.05,FALSE,0.44,28.8,,,,8.45,9.2,Shamkya,,core,0.53,55,,,,,
0.23,,34.8,0.03,FALSE,0.25,148.5,,,,10.55,3.9,Shamkya,,core,2.33,78,,,,,
0.16,,13.4,0.03,FALSE,0.23,66.7,,,,13.65,9.9,Shamkya,,core,0.52,152,,,,,
0.1,,7.4,0.02,FALSE,0.31,7.8,,,,6.96,3.4,Shamkya,,core,0.55,29,,,,,
0.02,,0.4,0.01,TRUE,0.03,18,,,,5.4,29.6,Shamkya,,core,0.05,9,,,,,
0.12,,2.2,0.02,FALSE,0.6,105.5,,,,2.04,2.1,Shamkya,,core,0.32,22,,,,,
0.29,,22.3,0.45,FALSE,7.21,86.6,,,,3.34,5.2,Shamkya,,core,2.13,34,,,,,
0.1,,7.4,0.01,FALSE,0.45,11.7,,,,18.1,9.7,Shamkya,,core,0.23,176,,,,,
0.08,,4.3,0.01,FALSE,0.25,13.9,,,,7.7,4.5,Shamkya,,core,0.18,39,,,,,
0.11,,5.4,0.01,TRUE,0.62,53.1,,,,10.85,4.6,Shamkya,,core,0.2,164,,,,,
0.06,,4.2,0.01,TRUE,0.2,6.6,,,,9.14,5.7,Shamkya,,core,0.08,71,,,,,
0.04,,2.6,0.01,TRUE,0.11,3.7,,,,14.2,6.7,Shamkya,,core,0.05,36,,,,,
0.04,,2,0.01,FALSE,0.13,9.2,,,,19.9,10.6,Shamkya,,core,0.07,69,,,,,
0.11,,8.4,0.02,FALSE,0.37,9.6,,,,7.24,4.1,Shamkya,,core,0.56,33,,,,,
0.02,,0.7,0.01,TRUE,0.07,3.9,,,,9.84,5.6,Shamkya,,core,0.05,43,,,,,
0.1,,15.9,0.01,TRUE,0.55,33.3,,,,17.75,18.3,Shamkya,,core,0.4,118,,,,,
0.05,,5.6,0.01,TRUE,0.15,18.5,,,,21.2,12.2,Shamkya,,core,0.05,45,,,,,
0.06,,4.6,0.01,TRUE,0.15,10.3,,,,15.85,12.6,Shamkya,,core,0.12,53,,,,,
0.14,,17,0.01,TRUE,0.11,49.3,,,,11.9,6,Shamkya,,core,1.03,75,,,,,
0.14,,6.9,0.01,TRUE,0.07,77,,,,13.5,9.3,Shamkya,,core,0.49,67,,,,,
0.33,,18.5,0.13,FALSE,0.73,26.2,,,,0.7,9.5,Shamkya,,core,0.61,24,,,,,
0.09,,3.9,0.02,FALSE,0.23,4.5,,,,0.57,1.9,Shamkya,,core,0.39,7,,,,,
0.15,,4.4,0.06,FALSE,0.44,11.5,,,,0.99,1.8,Shamkya,,core,0.48,12,,,,,
0.06,,0.9,0.01,FALSE,0.17,2.5,,,,0.23,0.8,Shamkya,,core,0.19,3,,,,,
0.11,,5,0.04,FALSE,0.33,13.7,,,,0.4,1.6,Shamkya,,core,0.3,8,,,,,
0.02,,0.4,0.01,TRUE,0.03,10.6,,,,5.16,26.8,Shamkya,,core,0.09,7,,,,,
0.4,,3.7,0.63,FALSE,0.57,6.9,,,,0.59,3,Shamkya,,core,0.31,15,,,,,
0.08,,7.4,0.01,FALSE,0.04,7.9,,,,2.86,0.9,Shamkya,,core,0.12,49,,,,,
0.15,,8,0.02,FALSE,0.14,13.6,,,,1.87,2.3,Shamkya,,core,0.17,58,,,,,
0.08,,5.2,0.02,FALSE,0.05,7.9,,,,3.2,1.6,Shamkya,,core,0.13,36,,,,,
0.2,,4.3,0.06,FALSE,0.45,15.6,,,,1.15,1.9,Shamkya,,core,0.48,13,,,,,
0.22,,21.4,0.01,TRUE,0.17,101,,,,20.6,6.2,Shamkya,,core,0.21,184,,,,,
0.14,,123.5,0.01,FALSE,0.4,38.6,,,,4.81,2.9,Shamkya,,core,0.19,67,,,,,
0.12,,55.9,0.01,TRUE,0.17,22.4,,,,8.25,2.5,Shamkya,,core,0.14,64,,,,,
0.06,,1.8,0.01,FALSE,0.12,14.3,,,,18.65,3.7,Shamkya,,core,0.1,61,,,,,
0.08,,1.3,0.01,TRUE,0.11,17.6,,,,20.3,4.5,Shamkya,,core,0.19,51,,,,,
0.05,,0.8,0.01,TRUE,0.11,12.6,,,,27.4,4.6,Shamkya,,core,0.11,59,,,,,
0.07,,4,0.01,TRUE,0.19,14.2,,,,21.7,4.8,Shamkya,,core,0.15,74,,,,,
0.06,,1.5,0.01,TRUE,0.17,11.6,,,,15.85,4,Shamkya,,core,0.11,52,,,,,
0.13,,1.2,0.01,TRUE,0.56,73.9,,,,21.6,4,Shamkya,,core,0.2,106,,,,,
0.13,,0.4,0.01,TRUE,0.07,8.7,,,,14.3,8,Shamkya,,core,0.11,47,,,,,
0.06,,0.4,0.01,TRUE,0.08,40,,,,23.5,7.1,Shamkya,,core,0.09,110,,,,,
0.12,,0.6,0.01,TRUE,0.06,51.1,,,,21.2,4.5,Shamkya,,core,0.08,65,,,,,
0.05,,1.5,0.01,TRUE,0.04,19,,,,24.1,2.4,Shamkya,,core,0.11,47,,,,,
0.04,,1,0.01,TRUE,0.07,38.3,,,,32,3.4,Shamkya,,core,0.09,33,,,,,
