Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
R0001,<0.01,0.03,2.9,0.13,29.1,13.1,0.25,98
R0002,<0.01,0.01,0.1,0.02,3.4,14.2,<0.05,5
R0003,<0.01,0.03,3,0.15,28.6,13.1,0.26,98
R0004,<0.01,0.04,0.9,0.03,24.8,7.1,0.06,35
R0005,<0.01,0.04,1.5,0.1,48,6.6,0.11,83
R0006,<0.01,0.03,1.2,0.1,32.3,4.3,0.09,76
R0007,<0.01,0.05,1.6,0.25,37.7,4.3,0.09,76
R0008,<0.01,0.08,0.2,0.11,29.4,3.6,0.05,72
R0009,<0.01,0.07,0.7,0.19,42.6,5.5,0.08,103
R0010,<0.01,0.18,1.9,0.2,68.7,4.1,0.12,83
R0011,<0.01,0.06,0.5,0.31,24.5,5.2,0.05,78
R0012,<0.01,0.06,0.3,0.04,20.5,3.8,<0.05,62
R0013,<0.01,0.05,0.5,0.14,25.8,5,0.06,122
R0014,<0.01,0.03,0.5,0.06,14,2.9,0.07,43
R0015,<0.01,0.05,0.8,0.12,41.6,3.9,0.06,54
R0016,<0.01,0.04,1.8,0.19,16.4,3.5,0.13,54
R0017,<0.01,0.06,1.6,0.09,55.1,3.7,0.1,66
R0018,<0.01,0.1,0.5,0.06,82.2,3.5,0.08,56
R0019,<0.01,0.05,2.1,0.25,63.2,4.1,0.14,99
R0020,<0.01,0.06,6.7,0.11,50.2,4,0.31,32
R0021,0.16,0.1,10.7,0.11,15.3,7.3,0.29,38
R0022,0.07,0.04,7.4,0.2,13.9,8.7,0.12,28
R0023,0.11,0.05,7.6,0.19,21.2,9,0.11,39
R0024,0.02,0.05,21.2,0.23,27.7,5.2,0.19,64
R0025,<0.01,0.03,5.7,0.2,86.2,4,0.17,47
R0026,<0.01,0.04,1.2,0.04,23.8,6.3,0.06,33
R0027,<0.01,0.05,10.7,0.16,86.3,2.6,0.22,52
R0028,<0.01,0.07,11.2,0.31,64.3,12.5,0.22,72
R0029,0.02,0.03,8.5,0.24,18.3,17,0.15,63
R0030,0.01,0.03,11.9,0.19,28.7,13.6,0.2,76
R0031,0.02,0.05,11.4,0.09,4.3,3.4,0.26,60
R0032,0.01,0.04,15.3,0.2,5.6,4.5,0.26,156
R0033,0.01,0.05,13.4,0.07,4.1,3.3,0.33,76
R0034,0.01,0.08,14.4,0.07,4.4,4.4,0.47,88
R0035,0.02,0.1,47.2,0.22,6.3,9,0.63,148
R0036,0.02,0.12,73.5,0.22,17.6,20.7,0.46,191
R0037,0.01,0.12,59.9,0.23,100,10.8,0.34,184
R0038,<0.01,0.13,25,0.16,69.2,5.5,0.15,157
R0039,<0.01,0.09,4.8,0.14,28.4,4.8,0.09,79
R0040,<0.01,0.07,4,0.17,119,6.7,0.13,86
R0041,<0.01,0.12,3.5,0.18,125,7.9,0.17,91
R0042,0.01,0.12,4.4,0.2,115.5,6,0.19,68
R0043,0.01,0.28,3.8,0.16,129,5.4,0.19,79
R0044,<0.01,0.19,5.1,0.23,142,5.4,0.24,107
R0045,0.01,0.12,6.8,0.11,75.6,5.9,0.42,149
R0046,0.01,0.11,7.8,0.18,51.9,6.4,0.31,268
R0047,<0.01,0.07,2.1,0.1,94.8,4.3,0.14,216
R0048,0.01,0.03,0.8,0.07,121.5,2.5,0.06,165
R0049,0.01,0.03,0.5,0.06,112,4,0.07,200
R0050,0.01,0.03,0.7,0.08,15.3,3.7,0.11,186
R0051,0.01,0.05,10.4,0.09,4.5,3.7,0.22,58
R0052,<0.01,0.04,0.7,0.07,81,10,0.08,545
