Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
T0001,1.76,0.72,1.3,1.63,13.1,181.5,0.11,112
T0002,0.08,0.04,1,0.12,6.3,31,0.12,49
T0003,0.05,0.04,1.9,0.18,4,20.1,0.12,30
T0004,0.91,0.51,1.2,1.46,7.6,94.2,0.11,34
T0005,0.59,0.07,7.9,0.14,28.9,91.2,0.23,270
T0006,0.01,0.03,7.5,0.46,77.3,16.5,0.23,160
T0007,1.22,0.13,47.2,0.15,60.7,24.3,0.25,82
T0008,0.01,0.4,0.8,1.98,5.9,47.7,0.12,14
T0009,2.12,0.63,31.5,0.2,10.4,43.3,0.25,73
T0010,0.02,1.96,0.8,5.27,43.2,45.3,0.12,17
T0011,12,4.85,16.8,0.9,9.2,1970,1.47,44
T0012,0.01,0.13,1.9,0.46,9.4,17,0.17,7
T0013,0.16,0.34,46.7,1.25,150.5,11.4,0.33,36
T0014,1.1,1.63,14.2,16.85,146,103.5,0.27,34
T0015,6.72,10.4,177,142,147,491,2.43,153
T0016,0.02,0.07,0.5,4.07,2.7,3.8,0.07,7
T0017,0.1,0.16,4.2,0.51,43.8,4.6,0.18,49
T0018,0.23,0.36,4.4,0.87,86.9,29.5,0.23,25
T0019,0.02,0.36,5.6,4.18,28.1,14.4,0.18,8
T0020,0.01,0.08,26.6,0.31,29.5,2,0.34,5
T0021,0.44,16.25,492,93.7,1100,872,1,127
T0022,0.15,3.21,66.5,14.45,569,129.5,1.07,1440
T0023,0.02,0.24,62.3,0.7,63,18.2,0.26,87
T0024,0.02,0.11,1.6,0.28,19.1,12.3,0.1,70
T0025,0.02,0.24,1.7,0.37,24.4,9.7,0.14,41
T0026,0.01,0.12,1.2,0.15,10.8,9,0.1,59
T0027,0.01,0.19,1.9,0.52,25.9,5.8,0.15,29
T0028,0.02,0.25,3.2,0.37,35,6.9,0.17,43
T0029,0.02,0.15,2,0.28,26.5,10.2,0.1,61
T0030,0.03,0.13,2.1,0.54,54.7,14.3,0.09,68
T0031,0.04,0.24,2.7,1,112,22.3,0.1,102
T0032,0.04,0.67,2.4,0.93,250,34.2,0.1,151
T0033,0.11,1.26,3.9,0.91,680,47.4,0.17,549
T0034,0.33,1.2,30.7,3.45,209,130,0.38,403
T0035,1.08,1.31,34.4,13.6,128,190,0.2,22
T0036,3.22,5.29,79.8,157,856,596,0.47,136
T0037,0.04,0.29,5.1,1.05,321,22.1,0.25,198
T0038,0.86,1.87,11.4,1.54,3270,231,0.2,1120
T0039,0.03,0.11,1.6,1.09,46,8.5,0.31,48
T0040,0.05,0.14,3.8,1.29,71.8,23.2,0.28,92
T0041,0.04,0.15,1.7,0.39,33.7,12,0.15,50
T0042,0.03,0.15,2.5,0.36,50.7,13.6,0.19,48
T0043,0.02,0.11,2.8,0.45,35.9,12.7,0.17,52
T0044,0.02,0.08,2.1,0.37,29.5,10.5,0.11,43
T0045,0.02,0.1,3.9,0.42,39.1,11.7,0.15,37
T0046,0.02,0.08,2.4,0.35,38.8,7.3,0.14,34
T0047,0.01,0.14,3,0.46,47.1,11.1,0.18,44
T0048,0.01,0.1,3.6,0.28,23.9,7.1,0.21,33
T0049,0.01,0.14,4.4,0.28,25.5,9.1,0.31,39
T0050,0.01,0.04,3.4,0.17,18.3,18.4,0.19,56
T0051,0.01,0.08,7.1,0.27,45.3,17.3,0.21,91
T0052,0.01,0.06,8.3,0.19,31,24.5,0.62,93
T0053,0.01,0.06,5.6,0.19,24.7,14.2,0.31,46
T0054,0.01,0.04,3.2,0.17,16.3,16.8,0.13,27
T0055,0.01,0.04,3.5,0.19,19.7,19.7,0.17,53
T0056,0.01,0.08,4.4,0.16,15.9,11.8,0.29,35
T0057,0.01,0.1,14.2,0.19,69.5,7.6,0.53,83
T0058,0.01,0.12,3.2,0.41,194.5,8.2,0.26,77
T0059,0.02,0.1,4,0.36,107,12.2,0.24,70
T0060,0.01,0.06,3,0.3,45.1,11.1,0.2,59
T0061,0.01,0.04,1.9,0.27,37.9,9.6,0.11,47
T0062,0.03,0.07,1.5,0.22,28.9,7.8,0.08,45
T0063,0.02,0.1,0.7,0.25,19.3,8.6,0.07,31
T0064,0.03,0.09,1.4,0.27,25.2,8.8,0.16,49
T0065,0.03,0.09,1.1,0.22,17.4,9,0.07,60
T0066,0.05,0.12,1.8,0.86,62.4,13.1,0.1,73
T0067,0.01,1.38,4.9,0.3,183.5,23.6,0.43,424
T0068,0.06,0.26,1.9,1.24,233,14.2,0.16,138
T0069,0.21,0.27,2.6,2.4,316,17.6,0.2,154
T0070,0.04,0.34,4.7,1.27,221,12.6,0.27,69
T0071,0.03,0.25,1.5,1.07,360,12.3,0.1,80
T0072,0.13,0.64,4.8,3.32,338,20.7,0.2,49
T0073,0.12,0.7,4.1,4.4,389,23.8,0.22,29
T0074,0.11,1.28,3.5,5.74,607,36.4,0.21,58
T0075,0.3,1.99,1.9,0.82,694,48.5,0.17,463
T0076,0.55,2.37,4.3,15.7,407,259,0.28,228
T0077,15.4,14.6,7.2,445,634,717,0.47,242
T0078,0.09,1.74,5.5,26.1,74.5,62.5,0.25,59
T0079,0.14,0.75,11.4,12.85,150.5,92.4,0.32,121
T0080,18.3,4.81,199.5,352,279,76.8,0.8,66
T0081,64.7,19.1,170.5,285,544,100.5,1.2,80
T0082,0.52,4.01,48.9,67.9,107.5,55.7,0.53,28
T0083,0.07,0.22,12.2,3.71,92.2,25.3,0.57,71
T0084,0.05,0.2,3.1,4.15,74.9,26.6,0.26,59
T0085,0.03,0.18,17.2,1.85,168.5,12.4,0.43,46
T0086,0.03,0.15,3.8,2.2,127.5,11.9,0.21,38
T0087,0.03,0.08,2.3,1.47,65.4,12,0.19,60
T0088,0.02,0.11,2.8,1.2,47.9,14.7,0.15,54
T0089,0.01,0.08,2,1.6,66.8,10.7,0.14,36
T0090,0.02,0.1,15.6,0.44,22.5,6.4,0.27,43
T0091,0.03,0.06,4.2,0.54,23.2,5.6,0.11,21
T0092,0.02,0.08,2.7,0.56,42.9,7,0.12,18
T0093,0.03,0.14,2.9,0.84,41.2,16.9,0.22,59
T0094,0.01,0.07,1.5,0.53,21.3,13.1,0.08,21
T0095,0.01,0.09,1.4,0.38,51.3,11.7,0.11,68
T0096,0.01,0.04,0.9,0.21,25.9,10.8,0.07,59
T0097,0.01,0.09,3.7,0.26,35.6,18.5,0.29,77
T0098,0.01,0.03,0.7,0.14,10.4,6.8,0.07,60
T0099,0.07,0.07,4.3,0.38,21,13.2,0.33,71
T0100,0.01,0.03,1.8,0.35,17.6,7.7,0.13,67
T0101,0.01,0.04,1,0.24,21.6,8.8,0.07,66
T0102,0.01,0.04,0.4,0.31,13.9,6.9,<0.05,86
T0103,0.01,0.03,0.8,1.05,10.1,7.4,0.05,92
