Analysis of Diamond Drilling Samples for P3-BH-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
Serial    No,Sample Discription,,Coordinates,,,,,,Interval (m),,QA/QC,Au,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,x,y,Elevation From (m),Elevation To (m),Azimuth,Dip,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
1,P3/D/BH1-001,S001,498889.544,2144445.838,330.928,327.928,330,60,4.2,7.2,,0.01,0.04,0.29,2.9,<0.02,<10,100,0.57,0.05,2.01,0.18,50,2.7,7,0.16,13.3,2.5,1.57,0.08,0.05,0.01,0.045,0.15,24.3,1.4,0.1,1060,1.52,0.04,0.09,3.5,220,4.9,8.9,0.001,<0.01,0.1,1.9,0.2,0.3,27.9,<0.01,0.01,10.5,0.008,0.1,2.4,23,0.14,15.7,37,1.6
2,P3/D/BH1-002,S002,498889.544,2144445.838,324.928,323.928,,,10.2,11.2,,<0.01,0.03,0.43,0.7,<0.02,<10,30,0.19,0.07,0.09,0.02,80.5,1.3,7,0.61,31.4,1.5,3.58,0.12,0.05,0.01,0.064,0.22,37.7,3.6,0.12,211,2.29,0.03,0.33,2,150,5.5,19.5,<0.001,<0.01,0.05,2.7,<0.2,1.6,4.9,<0.01,<0.01,19.3,0.042,0.12,1.22,8,0.07,27.5,34,1.1
3,P3/D/BH1-003,S003,498889.544,2144445.838,323.928,322.928,,,11.2,12.2,,<0.01,0.04,0.89,1.2,<0.02,<10,80,0.3,0.18,0.15,0.02,90.1,5.8,14,1.78,24.5,2.26,5.7,0.16,0.07,<0.01,0.049,0.59,42.7,10.3,0.4,320,1.22,0.04,0.23,7.4,250,4.7,61,0.001,<0.01,0.08,4.5,<0.2,2.1,7.8,0.01,0.01,20.5,0.12,0.36,2.31,30,0.13,39,36,1.3
4,P3/D/BH1-004,S004,498889.544,2144445.838,322.928,321.928,,,12.2,13.2,,<0.01,0.04,1.15,0.6,<0.02,<10,80,0.42,0.24,0.36,0.05,69.9,6.6,16,2.1,11.5,2.96,7.78,0.14,0.06,0.01,0.071,0.62,32.2,13.7,0.53,401,0.72,0.06,0.24,8.7,270,7,70.7,0.001,<0.01,<0.05,7.1,<0.2,2.6,13.2,<0.01,0.01,16.5,0.139,0.42,1.34,43,0.12,25,60,1.2
5,P3/D/BH1-005,S005,498889.544,2144445.838,321.928,318.928,,,13.2,16.2,,0.01,0.07,1.51,2.3,<0.02,<10,90,1.1,0.68,1.55,0.28,81.2,13.2,18,1.35,37.2,3.94,7.85,0.17,0.08,<0.01,0.071,0.49,37.6,13.6,0.9,627,1.26,0.04,0.06,18,630,6.1,48.1,0.001,<0.01,0.11,6.3,0.3,1.8,22.8,0.01,<0.01,13.4,0.089,0.3,2.04,66,0.09,42.3,67,1.4
6,P3/D/BH1-006,S006,498889.544,2144445.838,318.928,317.928,,,16.2,17.2,,<0.01,0.07,1.16,4.7,<0.02,<10,100,0.87,0.21,0.75,0.12,85.4,8.2,22,1.77,51.2,2.88,6.05,0.13,0.06,0.01,0.058,0.64,41.2,8.7,0.55,441,1.99,0.05,0.11,13,230,8.8,57,0.001,<0.01,0.19,6.7,<0.2,2.3,13.2,<0.01,0.01,17,0.092,0.36,2.03,41,0.13,23.4,61,1.6
7,P3/D/BH1-007,S007,498889.544,2144445.838,317.928,316.928,,,17.2,18.2,,<0.01,0.07,0.44,6,<0.02,<10,40,0.64,0.12,1.28,0.18,71.3,3.8,8,0.2,23.7,2.13,1.72,0.1,0.04,0.01,0.023,0.22,35.8,0.8,0.06,694,3.4,0.03,<0.05,5.4,300,7.6,10.2,0.001,<0.01,0.19,1.7,<0.2,0.2,24.7,<0.01,0.01,10.5,<0.005,0.1,1.32,4,0.08,14.65,35,1.1
8,P3/D/BH1-008,S008,498889.544,2144445.838,316.928,315.928,,,18.2,19.2,,0.12,0.17,0.33,27.1,0.13,<10,50,1.22,2.1,0.54,0.13,61.6,8.6,8,0.14,60.1,3.1,1.47,0.11,0.1,0.01,0.099,0.23,31,0.6,0.03,1300,3.77,0.01,0.05,8.4,230,6.9,9.8,0.001,<0.01,0.31,1.8,0.3,0.7,25.6,<0.01,0.02,10.5,<0.005,0.1,1.45,11,0.34,8.52,25,4
