Field No,lab Serial,Prospect,Type,x,y,z,Depth(m),Unnamed: 8,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,,,,,From,To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.BH19.012,890.0,JAT-P3,RC,498794.926,2144447.1,323.512,11,12,,<0.01,0.05,1.8,1.9,<0.02,<10,90,1.27,0.45,0.6,0.14,66.2,6.3,136.0,1.65,71.9,2.41,8.32,0.07,0.05,<0.01,0.229,0.52,29.8,9.9,0.71,415.0,9.72,0.12,0.33,10.5,240,20.2,60.4,0.001,0.01,0.07,6.0,0.3,12.5,47.2,<0.01,<0.01,14.3,0.082,0.49,1.1,34,0.56,24.6,141.0,1.3
RC.BH19.013,891.0,JAT-P3,RC,498794.926,2144447.1,322.512,12,13,,0.01,0.07,1.03,2.1,<0.02,<10,110,0.89,0.21,3.36,0.56,55.4,4.9,141.0,0.74,27.9,1.8,5.03,0.05,0.08,<0.01,0.215,0.25,28.6,4.0,0.34,551.0,11.5,0.06,0.2,7.3,290,13.9,23.4,0.002,0.01,0.1,3.5,0.2,5.8,36.0,<0.01,<0.01,14.3,0.025,0.21,1.57,22,0.45,27.9,96.0,1.7
RC.BH19.014,892.0,JAT-P3,RC,498794.926,2144447.1,321.512,13,14,,0.01,0.08,0.69,3.4,<0.02,<10,110,0.81,0.29,3.4,0.44,42.4,4.4,117.0,0.32,24.1,2.65,2.76,0.05,0.12,<0.01,0.15,0.23,20.9,1.7,0.16,1160.0,11.2,0.05,0.17,7.1,200,9.6,13.3,0.001,0.01,0.12,1.9,0.4,2.2,39.0,<0.01,<0.01,14.5,0.007,0.12,1.97,18,0.58,18.1,56.0,3.1
RC.BH19.015,893.0,JAT-P3,RC,498794.926,2144447.1,320.512,14,15,,0.2,0.21,0.4,14.4,0.2,<10,110,0.8,1.2,2.01,0.24,40.4,6.3,119.0,0.11,33.9,2.5,1.44,0.05,0.09,<0.01,0.09,0.29,19.7,0.5,0.05,1150.0,14.95,0.02,0.11,8.8,130,15.3,9.4,0.001,0.01,0.18,1.1,0.3,0.4,24.1,<0.01,<0.01,9.5,<0.005,0.08,1.53,17,0.91,12.15,59.0,2.3
RC.BH19.016,894.0,JAT-P3,RC,498794.926,2144447.1,319.512,15,16,,0.04,0.15,0.42,10,0.02,<10,130,0.81,0.97,2.18,0.52,57.7,5.8,109.0,0.1,33.5,2.35,1.88,0.09,0.09,<0.01,0.067,0.29,29.2,0.8,0.05,1440.0,13.45,0.01,0.09,9.0,230,10.6,10.5,0.002,<0.01,0.14,1.6,0.3,0.4,32.7,0.01,<0.01,12,<0.005,0.13,1.69,18,0.83,15.8,66.0,2.7
RC.BH19.017,895.0,JAT-P3,RC,498794.926,2144447.1,318.512,16,17,,0.01,0.09,0.92,3.7,0.03,<10,50,1.48,0.53,2.74,0.26,64.2,9.1,104.0,0.76,31.2,3.31,3.87,0.13,0.06,0.01,0.068,0.24,32.3,2.3,0.22,1090.0,9.34,0.02,0.06,11.7,640,12.0,15.6,0.002,<0.01,0.14,4.5,<0.2,0.7,44.5,0.01,<0.01,11.7,0.006,0.14,2.42,17,0.42,16.2,94.0,1.6
RC.BH19.018,896.0,JAT-P3,RC,498794.926,2144447.1,317.512,17,18,,<0.01,0.1,0.68,3.5,<0.02,<10,30,1.41,0.97,3.34,0.41,60.8,9.1,96.0,0.27,53.4,2.8,2.66,0.09,0.07,0.01,0.079,0.23,30.2,1.6,0.13,763.0,10.45,0.02,0.06,10.1,450,17.5,12.6,0.002,<0.01,0.14,3.5,0.4,0.6,40.5,<0.01,<0.01,11.1,<0.005,0.07,3.55,11,0.37,16.8,100.0,1.9
RC.BH19.019,897.0,JAT-P3,RC,498794.926,2144447.1,316.512,18,19,,<0.01,0.09,0.66,3.9,<0.02,<10,40,1.1,0.33,3.1,0.39,58,10.3,110.0,0.39,36.6,2.84,2.66,0.1,0.08,0.01,0.056,0.26,28.2,1.9,0.18,717.0,10.25,0.03,0.08,12.9,360,22.6,15.8,0.001,<0.01,0.17,4.0,0.6,0.6,42.5,0.01,<0.01,11.2,0.005,0.11,2.8,16,0.48,14.6,90.0,2.5
RC.BH19.020,898.0,JAT-P3,RC,498794.926,2144447.1,315.512,19,20,,<0.01,0.05,0.97,3.3,<0.02,<10,30,1.09,0.2,3.23,0.17,57.5,13.1,98.0,1.02,54.7,3.35,3.88,0.11,0.07,<0.01,0.048,0.27,27.9,3.2,0.31,786.0,8.52,0.03,0.06,19.3,500,11.1,19.9,0.001,<0.01,0.15,5.9,0.3,0.6,39.4,<0.01,<0.01,10.3,0.01,0.16,1.94,26,0.3,13.65,80.0,1.8
