Serial No,Lab ID,Feild ID,Au,Au Check,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
1.0,An6.T2.TR1.G1,G/001,0.01,,0.27,0.27,44.8,<0.02,<10,130,1.19,1.64,5.1,2.26,35.5,10.8,30,0.37,159,3.58,1.22,0.11,0.12,<0.01,0.034,0.12,17.9,0.7,0.07,550,7.24,0.01,0.07,80.4,670,28.9,5.3,0.002,<0.01,2.06,2.7,1.5,0.4,18.2,<0.01,0.09,2.2,<0.005,0.12,2.95,166,0.51,17.35,118,5.8
2.0,An6.T2.TR1.G2,G/002,2.31,,1.32,0.09,17,1.98,<10,130,0.74,28.2,0.99,0.11,4.97,9.2,14,<0.05,865,2.64,0.57,0.08,0.02,<0.01,0.122,0.03,1.7,0.4,0.04,821,6.29,<0.01,0.05,32,60,23.7,1.3,<0.001,<0.01,0.51,1.6,0.9,0.4,10.5,<0.01,0.07,0.2,<0.005,0.03,1.19,68,0.37,3.56,39,0.7
3.0,An6.T2.TR1.G3,G/003,10.25,14.35,1.71,0.06,24,9.23,<10,210,0.85,46.6,0.28,0.14,4.67,11.7,8,<0.05,716,3.88,0.42,0.08,0.02,<0.01,0.151,0.04,3.1,0.3,0.05,2250,1.85,<0.01,<0.05,23.4,30,34.8,1.3,<0.001,<0.01,0.56,1.8,0.7,<0.2,24,<0.01,0.12,0.2,<0.005,0.13,2.84,165,0.37,8.88,24,0.6
4.0,An6.T2.TR1.G4,G/004,0.06,,0.46,0.21,43.5,0.03,<10,250,0.94,5.61,2.65,0.12,19.8,14.9,13,0.07,305,2.57,0.92,0.09,0.08,<0.01,0.053,0.15,9.6,0.8,0.05,1270,6.97,0.01,0.12,46.1,260,50.8,4.7,<0.001,<0.01,0.66,2,0.8,0.3,19.5,<0.01,0.06,2.3,<0.005,0.08,2.59,69,0.56,8.18,49,2.9
5.0,An6.T2.TR2.G1,G/007,4.12,,3.36,0.13,24.2,1.49,<10,80,0.86,52.8,0.41,0.12,6.97,11.9,15,0.1,2680,3.11,0.71,0.08,0.03,<0.01,0.367,0.05,3.2,0.6,0.04,831,6.91,0.01,0.07,32.4,150,52.3,2.4,<0.001,0.02,0.92,1.7,0.5,0.9,13.8,<0.01,0.1,0.4,<0.005,0.04,1.8,71,0.39,5.45,68,0.9
6.0,An6.T2.TR2.G2,G/008,0.02,,0.16,0.27,51.8,0.03,<10,310,1.48,0.66,2.54,0.42,14.7,19.6,14,0.18,205,4.43,1.23,0.08,0.05,<0.01,0.046,0.11,6.2,1,0.12,1920,6,0.02,0.08,33.4,310,2.6,4.9,<0.001,<0.01,0.48,4.3,<0.2,0.3,42.6,<0.01,0.03,0.5,0.005,0.13,1.82,100,0.58,8.14,47,1.3
7.0,An6.T2.TR2.G3,G/009,0.01,,0.11,0.17,35,<0.02,<10,310,0.85,0.83,1.7,0.26,10.7,19.7,11,0.07,117,4.75,0.7,0.09,0.06,0.01,0.086,0.09,4.7,0.7,0.09,2820,5.21,0.01,0.06,24.9,260,1.8,2.8,<0.001,<0.01,0.49,3.8,0.2,<0.2,30.3,<0.01,0.06,0.3,0.005,0.12,1.87,113,0.83,6.92,27,1.6
8.0,An6.T2.TR3.G1,G/010,0.01,,0.09,2.2,32.3,<0.02,<10,390,3,0.34,6.57,0.38,24.1,39,203,2.84,83.8,5.61,7.95,0.14,0.14,0.01,0.066,0.23,9.6,12.6,1.81,1420,1.86,0.06,0.16,206,350,4.1,22,<0.001,<0.01,0.6,12.9,<0.2,1.4,85.4,<0.01,0.04,1.4,0.083,0.28,1.75,139,0.29,11.95,74,2.8
9.0,An6.T2.TR4.G1,G/011,0.01,,0.16,0.1,113.5,<0.02,<10,110,0.45,1.61,0.32,0.15,8.61,31.6,17,0.07,23.1,2.55,0.53,0.08,0.04,0.01,0.045,0.06,4.3,0.4,0.03,1200,2.65,0.01,0.06,76.9,180,2.6,2.3,<0.001,<0.01,0.67,1.5,0.6,0.3,12.6,<0.01,0.08,0.9,<0.005,0.11,1.67,57,0.53,6.3,23,1.4
10.0,An6.T2.TR5.G1,G/012,0.14,,0.32,0.2,114,0.14,<10,300,1.69,2.14,0.24,0.35,21.5,22.2,18,0.11,115.5,5.33,1.17,0.09,0.08,<0.01,0.089,0.1,9.3,0.7,0.06,1960,18,0.01,0.11,73.3,190,12.5,3.3,<0.001,0.01,2.65,3.5,1.7,0.2,28.5,<0.01,0.09,1,<0.005,0.27,3.54,126,1.76,12.4,143,3.9
11.0,An6.T2.TR6.G1,G/013,0.03,,0.15,0.14,27.1,0.03,<10,130,0.64,0.97,0.33,0.18,17.45,11,12,0.06,13.4,2.76,0.69,0.08,0.06,<0.01,0.047,0.08,7.7,0.5,0.04,1380,26.8,0.01,0.14,20.3,70,6.9,2.9,<0.001,<0.01,0.46,1.9,0.4,0.3,14.1,0.01,0.04,4.3,<0.005,0.05,2.11,50,0.51,7.55,44,2.2
12.0,An6.T2.TR6.G2,G/014,0.15,,0.34,0.22,18.8,0.15,<10,200,1.05,1.7,0.51,0.24,8.73,6.2,21,0.18,40.9,3.11,1.18,0.08,0.06,0.01,0.063,0.13,3.9,0.7,0.05,1400,3.56,0.02,0.13,21.3,150,13.7,5,<0.001,0.16,0.81,1.8,0.7,0.5,19.4,<0.01,0.03,0.7,<0.005,0.09,1.76,81,0.82,6.13,47,1.9
13.0,An6.T2.TR6.G3,G/015,<0.01,,0.06,0.04,6.3,<0.02,<10,60,0.15,0.04,0.24,0.07,2.02,2.4,11,<0.05,5.5,1.73,0.27,<0.05,<0.02,0.01,0.039,0.03,1.1,0.1,0.02,964,1.68,<0.01,<0.05,8.6,20,0.6,0.7,<0.001,0.01,0.14,0.7,<0.2,<0.2,8.8,<0.01,<0.01,<0.2,<0.005,0.02,0.48,19,0.15,2.42,9,<0.5
14.0,An6.T2.TR6.G4,G/017,<0.01,,0.01,0.17,0.3,<0.02,<10,50,<0.05,0.02,0.13,0.01,0.91,0.5,5,0.05,2.4,0.25,0.43,<0.05,<0.02,0.01,<0.005,0.18,0.6,0.1,0.01,65,0.3,0.02,0.36,1.2,20,4.5,4.9,<0.001,0.01,<0.05,0.1,<0.2,<0.2,7.6,<0.01,<0.01,0.2,<0.005,0.02,0.19,1,0.05,1.23,<2,<0.5
15.0,An6.T2.TR6.G5,G/018,0.07,,0.13,0.07,6.5,0.03,<10,150,0.84,0.42,0.17,0.14,1.77,1.6,11,0.1,19,2.27,0.44,<0.05,0.02,<0.01,0.054,0.04,1,0.2,0.03,1120,1.59,0.01,0.07,7.8,40,4.1,1.8,<0.001,0.02,0.18,0.8,0.2,0.2,12.4,<0.01,0.01,0.2,<0.005,0.06,1.38,72,0.39,4.37,29,0.7
16.0,An6.T2.TR7.G1,G/019,<0.01,,0.03,0.03,12.5,<0.02,<10,100,0.15,0.08,0.2,0.11,1.71,5.5,8,<0.05,3.8,2.96,0.2,<0.05,<0.02,0.01,0.059,0.02,0.8,0.1,0.03,1720,0.8,<0.01,<0.05,8.5,20,0.5,0.5,<0.001,0.01,0.1,1.5,0.4,<0.2,11.5,<0.01,0.01,<0.2,<0.005,0.02,1.09,48,0.12,5.25,13,<0.5
17.0,An6.T2.TR7.G2,G/021,0.04,,0.18,0.24,35.8,0.04,<10,120,0.75,1.1,0.36,0.11,26.3,16.5,12,0.09,48.1,2.75,0.99,<0.05,0.06,<0.01,0.024,0.13,13.3,0.7,0.04,984,16.25,0.01,0.12,36.1,240,12.3,4.3,<0.001,0.01,0.47,1.9,1.1,0.3,13.8,<0.01,0.04,2.4,<0.005,0.09,1.62,24,0.43,8.89,34,2.8
18.0,An6.T2.TR7.G3,G/022,0.09,,0.39,0.1,12.8,0.09,<10,70,0.52,1.28,0.1,0.17,19.6,3.7,9,0.05,21.1,1.53,0.61,<0.05,0.08,<0.01,0.037,0.07,11.9,0.4,0.02,543,9.39,<0.01,0.07,10.1,30,13.9,2.6,0.001,0.02,0.5,0.9,0.4,<0.2,6.8,<0.01,0.04,3.3,<0.005,0.05,1.89,29,0.22,18,54,2.9
19.0,An6.T2.TR7.G4,G/023,0.75,,0.34,0.14,97.8,0.22,<10,120,1.1,1.54,0.32,0.18,18.2,19.6,16,0.07,45.4,3.59,0.85,<0.05,0.06,0.01,0.033,0.07,9.5,0.7,0.04,1110,34.2,0.01,0.13,36.6,200,18.5,2.8,<0.001,0.02,1.75,2.4,1.3,0.3,14.1,<0.01,0.04,1.4,<0.005,0.19,1.81,49,0.57,9.85,56,2.3
20.0,An6.T2.TR16.G1,G/024,0.04,,0.17,0.33,69.6,0.09,<10,240,1.65,2.39,0.54,0.29,60.1,49.8,11,0.08,71.2,6.91,1.49,0.08,0.11,0.01,0.068,0.2,31,1.5,0.09,2040,22.7,0.01,0.27,86.3,380,13.4,5.8,0.001,0.01,0.56,5.6,3.9,0.3,31.4,0.01,0.1,3.8,0.014,0.13,2.95,95,1.21,17.95,78,4.2
21.0,An6.T2.TR16.G2,G/025,0.04,,0.21,0.12,54.5,0.04,<10,300,1.61,3.7,4.93,0.3,7.48,15.4,15,0.2,81.5,3.41,0.55,<0.05,0.02,0.01,0.046,0.06,4.1,0.4,0.09,2180,3.74,0.01,0.08,57.9,170,10.3,2.7,<0.001,0.01,1.72,3.1,0.4,<0.2,37.3,<0.01,0.02,0.2,<0.005,0.13,1.96,120,0.42,9.63,47,1.3
22.0,An6.T3.TR1.G1,G/026,0.01,,0.15,0.7,28.4,<0.02,<10,230,1.71,0.94,5.85,0.25,13.15,17.8,21,0.45,36.9,4.9,2.66,0.05,0.03,0.01,0.061,0.16,6.2,3.5,0.47,2330,3.88,0.01,<0.05,40.9,340,3.6,7.7,<0.001,0.01,0.47,5.6,0.6,0.4,49,<0.01,0.05,0.9,0.023,0.12,2,110,0.24,10.95,57,1.3
23.0,An6.T3.TR3.G1,G/027,0.01,,0.2,0.3,2.2,<0.02,<10,150,0.51,0.27,0.07,0.01,47,4.8,8,0.07,57,1.1,1.38,<0.05,0.08,0.01,0.024,0.06,22.9,0.5,0.02,639,0.98,<0.01,0.44,4.7,70,2.9,2.7,<0.001,0.01,0.14,1.9,<0.2,0.2,7.8,<0.01,0.01,3.7,<0.005,0.02,1.08,19,0.1,13.65,9,2.6
