Serial No,Lab ID,Feild ID,Coordinates,Unnamed: 4,Au,Au Check,Au-OG44,ME-ICP41,ME-ICP41.1,ME-ICP41.2,ME-ICP41.3,ME-ICP41.4,ME-ICP41.5,ME-ICP41.6,ME-ICP41.7,ME-ICP41.8,ME-ICP41.9,ME-ICP41.10,ME-ICP41.11,ME-ICP41.12,ME-ICP41.13,ME-ICP41.14,ME-ICP41.15,ME-ICP41.16,ME-ICP41.17,ME-ICP41.18,ME-ICP41.19,ME-ICP41.20,ME-ICP41.21,ME-ICP41.22,ME-ICP41.23,ME-ICP41.24,ME-ICP41.25,ME-ICP41.26,ME-ICP41.27,ME-ICP41.28,ME-ICP41.29,ME-ICP41.30,ME-ICP41.31,ME-ICP41.32,ME-ICP41.33,ME-ICP41.34
,,,,,,,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn
,,,x,y,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm
1.0,543.0,Q001,499025,2102599,Ch,,0.001,<0.2,0.01,<2,<10,40,<0.5,<2,0.01,<0.5,1,123,2,0.19,<10,<1,<0.01,<10,<0.01,93,9,<0.01,4,10,<2,<0.01,<2,<1,<1,<20,<0.01,<10,<10,7,<10,<2
2.0,544.0,Q002,488917,2101703,Ch,,0.01,<0.2,0.1,<2,<10,140,<0.5,<2,0.1,<0.5,2,98,17,0.64,<10,1,0.02,<10,0.01,110,8,<0.01,5,290,10,0.05,<2,<1,50,<20,<0.01,<10,<10,8,<10,9
3.0,545.0,Q003,498978,2102719,Ch,,0.001,<0.2,0.01,<2,<10,10,<0.5,<2,0.02,<0.5,1,145,2,0.19,<10,<1,0.01,<10,<0.01,64,11,<0.01,3,20,<2,<0.01,<2,<1,<1,<20,<0.01,<10,<10,7,<10,<2
4.0,546.0,Q004,489744,2104904,Ch,,0.001,4.5,0.05,2,<10,10,<0.5,24,0.03,<0.5,1,216,154,0.4,<10,<1,0.03,<10,0.01,51,17,<0.01,6,30,107,<0.01,<2,<1,1,<20,<0.01,<10,<10,18,<10,11
5.0,547.0,Q005,498969,2101973,Ch,,0.001,<0.2,0.01,<2,<10,<10,<0.5,<2,0.01,<0.5,<1,147,5,0.18,<10,<1,0.01,<10,<0.01,16,11,<0.01,4,<10,<2,<0.01,<2,<1,<1,<20,<0.01,<10,<10,7,<10,<2
6.0,548.0,Q006,485972,2110154,Ch,,0.001,0.6,0.06,4,<10,20,<0.5,2,0.04,<0.5,1,131,184,0.35,<10,1,0.04,<10,0.01,76,10,<0.01,4,30,83,<0.01,<2,<1,1,<20,<0.01,<10,<10,8,<10,15
7.0,549.0,Q007,498178,2101767,Ch,,0.001,<0.2,0.12,<2,<10,40,<0.5,2,0.07,<0.5,1,132,3,0.2,<10,<1,0.07,<10,0.01,116,10,<0.01,3,140,9,0.02,<2,<1,15,<20,<0.01,<10,<10,7,<10,5
8.0,550.0,Q008,486636,2106696,Ch,,0.001,<0.2,0.07,4,<10,20,<0.5,<2,0.04,<0.5,1,136,4,0.32,<10,1,0.05,<10,0.01,75,11,<0.01,3,50,3,<0.01,<2,<1,2,<20,<0.01,<10,<10,8,<10,3
9.0,551.0,Q009,497712,2101374,Ch,,0.001,<0.2,0.07,<2,<10,30,<0.5,<2,0.04,<0.5,2,134,8,0.58,<10,<1,0.03,<10,0.01,70,12,<0.01,5,50,4,<0.01,<2,<1,11,<20,<0.01,<10,<10,11,<10,7
10.0,552.0,Q010,485004,2110471,Ch,,0.001,1.4,0.11,3,<10,60,<0.5,5,0.04,<0.5,1,112,26,0.39,<10,<1,0.07,<10,0.01,186,9,<0.01,4,50,79,0.01,<2,<1,4,<20,<0.01,<10,<10,6,<10,13
11.0,553.0,Q011,498636,2109052,Ch,,0.001,<0.2,0.07,<2,<10,20,<0.5,<2,0.07,<0.5,1,163,3,0.29,<10,<1,0.04,<10,0.01,79,14,<0.01,2,110,<2,0.01,<2,<1,4,<20,<0.01,<10,<10,9,<10,3
12.0,554.0,Q012,469613,2107568,Ch,,0.001,<0.2,0.03,4,<10,10,<0.5,<2,0.04,<0.5,2,128,8,1.01,<10,<1,<0.01,<10,<0.01,137,10,<0.01,5,330,<2,<0.01,<2,<1,8,<20,<0.01,<10,<10,11,<10,<2
13.0,555.0,Q013,498624,2108530,Ch,,0.001,<0.2,0.08,<2,<10,30,<0.5,<2,0.09,<0.5,2,137,5,0.56,<10,<1,0.02,<10,0.01,125,11,<0.01,6,160,7,0.01,<2,<1,5,<20,<0.01,<10,<10,9,<10,17
14.0,556.0,Q014,473491,2107688,Ch,,0.001,<0.2,0.2,10,<10,260,<0.5,<2,0.15,<0.5,7,113,3,1.08,<10,<1,0.04,<10,0.02,255,7,<0.01,25,450,10,0.01,<2,3,33,<20,<0.01,<10,<10,15,<10,35
15.0,557.0,Q015,487805,2105128,Ch,,0.001,<0.2,0.25,3,<10,210,0.6,<2,0.71,<0.5,5,93,5,1.27,<10,<1,0.04,10,0.07,597,7,<0.01,7,240,7,0.04,<2,2,12,<20,<0.01,<10,<10,23,<10,16
16.0,558.0,Q016,472492,2106689,Ch,,0.001,<0.2,0.02,2,<10,20,<0.5,<2,0.03,<0.5,3,159,22,0.66,<10,1,0.01,<10,0.01,88,13,<0.01,12,60,3,<0.01,<2,<1,2,<20,<0.01,<10,<10,9,<10,6
17.0,559.0,Q017,477860,2106178,Ch,,0.001,<0.2,0.04,<2,<10,10,<0.5,<2,0.03,<0.5,1,135,2,0.19,<10,<1,0.03,<10,<0.01,63,11,<0.01,2,40,<2,<0.01,<2,<1,1,<20,<0.01,<10,<10,6,<10,<2
18.0,560.0,Q018,471378,2105803,Ch,,0.001,<0.2,0.15,2,<10,20,<0.5,<2,0.07,<0.5,3,133,10,0.75,<10,<1,0.08,<10,0.02,82,11,<0.01,9,70,10,<0.01,<2,<1,8,<20,<0.01,<10,<10,15,<10,11
19.0,561.0,Q019,471618,2104785,Ch,,0.001,<0.2,0.01,<2,<10,<10,<0.5,<2,0.01,<0.5,1,154,2,0.23,<10,<1,<0.01,<10,<0.01,20,13,<0.01,2,10,<2,<0.01,<2,<1,<1,<20,<0.01,<10,<10,7,<10,<2
20.0,562.0,Q020,464437,2107607,Ch,,0.001,0.3,0.09,<2,<10,30,<0.5,3,0.06,<0.5,2,135,5,0.34,<10,<1,0.08,<10,0.01,183,10,<0.01,8,90,14,<0.01,<2,<1,2,<20,<0.01,<10,<10,7,<10,4
21.0,563.0,Q021,474923,2107510,Ch,,0.001,<0.2,0.08,<2,<10,20,<0.5,<2,0.07,<0.5,2,109,3,0.77,<10,<1,0.01,<10,<0.01,47,8,<0.01,7,20,3,<0.01,<2,<1,1,<20,<0.01,<10,<10,8,<10,4
22.0,564.0,Q022,464377,2106143,Ch,,0.001,<0.2,0.03,4,<10,10,<0.5,<2,0.04,<0.5,2,117,8,0.98,<10,<1,0.01,<10,<0.01,137,9,<0.01,6,320,<2,<0.01,<2,<1,7,<20,<0.01,<10,<10,10,<10,2
23.0,565.0,Q023,470672,2105918,Ch,,0.001,<0.2,0.16,<2,<10,110,<0.5,<2,0.07,<0.5,2,211,3,0.71,<10,<1,0.06,<10,0.02,86,16,<0.01,14,80,2,0.02,<2,1,15,<20,<0.01,<10,<10,13,<10,8
24.0,566.0,Q024,465976,2104864,QA/QC,Blank Sample,0.001,<0.2,0.03,2,<10,10,<0.5,<2,0.05,<0.5,2,147,6,0.45,<10,<1,0.01,<10,0.01,106,11,<0.01,7,50,<2,<0.01,<2,<1,1,<20,<0.01,<10,<10,8,<10,2
25.0,567.0,Q025,456570,2108343,Ch,,0.001,<0.2,0.74,5,<10,50,<0.5,<2,0.29,<0.5,7,86,43,10.25,<10,<1,0.15,10,0.1,110,5,0.04,20,750,6,0.03,<2,1,82,<20,<0.01,<10,<10,48,<10,39
26.0,568.0,Q026,466798,2105512,Ch,,0.001,<0.2,0.02,5,<10,30,<0.5,<2,0.08,<0.5,6,155,35,1.42,<10,<1,0.01,<10,0.01,254,11,<0.01,14,170,<2,0.01,<2,<1,6,<20,<0.01,<10,<10,13,<10,3
