Serial    No,Sample Discription,Unnamed: 2,Interval (m),Unnamed: 4,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
1.0,P1/D/BH1-2/001,S001 ,16,17,,0.01,0.1,0.73,1.1,<0.02,<10,130,0.67,0.23,0.18,0.25,76.5,3,10,0.63,25.8,2.88,3.71,0.13,0.04,0.01,0.046,0.33,38.3,1.6,0.11,464,0.95,0.07,0.23,3.4,300,10.6,25.6,0.001,<0.01,<0.05,3.7,<0.2,1.4,12.4,<0.01,0.02,16.8,0.042,0.17,1.8,20,0.07,18.05,74,0.8
2.0,P1/D/BH1-2/002,S002 ,17,18,,0.02,0.18,0.42,22.4,<0.02,<10,80,0.48,1.13,0.03,0.21,46.3,2.4,7,0.07,31.7,2.82,1.5,0.1,0.04,0.02,0.073,0.22,23.3,0.5,0.01,257,2.43,0.01,<0.05,3.3,150,30.1,8.5,<0.001,0.03,0.32,1.3,0.2,0.5,21.7,<0.01,0.03,8.6,<0.005,0.06,3.57,10,0.1,7.8,67,1.1
3.0,P1/D/BH1-2/003,S003 ,18,19,,0.01,0.1,0.48,1.3,<0.02,<10,60,0.56,0.52,0.04,0.14,94.6,1.6,7,0.08,17.6,2.16,1.94,0.14,0.04,0.01,0.043,0.21,48.7,0.6,0.01,243,1.44,0.01,<0.05,2.7,170,23.3,8.7,<0.001,<0.01,<0.05,1.7,<0.2,0.3,18.5,<0.01,<0.01,15.3,<0.005,0.06,2.86,7,0.08,15.9,51,1.4
4.0,P1/D/BH1-2/004,S004 ,19,20,,<0.01,0.1,0.59,3.8,<0.02,<10,60,0.53,0.44,0.03,0.13,61.2,1.4,8,0.09,14.9,2.68,2,0.11,0.04,0.01,0.05,0.2,29.9,0.7,0.01,258,1.06,0.01,<0.05,3.1,160,18.7,8.3,0.001,0.01,<0.05,2.7,<0.2,0.4,18,<0.01,<0.01,14.3,<0.005,0.05,2.87,9,0.07,15.65,47,1.3
5.0,P1/D/BH1-2/005,S005 ,20,21,,0.13,0.19,0.51,36.3,0.11,<10,90,0.66,2.82,0.02,0.32,63.2,4,9,0.09,26,3.87,1.93,0.1,0.05,0.02,0.074,0.28,30.9,0.6,0.02,299,1.17,0.01,0.05,4.2,180,43.2,10.5,0.001,0.01,0.06,1.8,0.3,0.5,10.9,<0.01,<0.01,11.6,<0.005,0.07,1.88,19,0.13,8.89,81,1.7
6.0,P1/D/BH1-2/006,S006 ,21,22,,<0.01,0.09,0.72,3.3,<0.02,<10,40,0.54,0.22,0.06,0.3,75.1,2.6,8,0.13,25.1,2.75,2.51,0.12,0.04,0.01,0.053,0.18,35.6,0.7,0.02,290,0.8,0.01,<0.05,3.6,230,17.4,8.9,0.001,<0.01,<0.05,3.6,<0.2,0.5,5.4,<0.01,<0.01,15.1,<0.005,0.05,2.29,9,0.05,19.4,94,1.5
7.0,P1/D/BH1-2/007,S007 ,22,23,,<0.01,0.09,0.65,1.1,<0.02,<10,70,0.54,0.17,0.07,0.14,68.5,2.2,8,0.09,20.5,2.17,2.27,0.09,0.05,0.02,0.04,0.17,32.9,1,0.02,438,0.98,0.01,<0.05,3.3,240,9.5,8.2,<0.001,<0.01,<0.05,2.9,<0.2,0.4,7.7,<0.01,<0.01,12.3,<0.005,0.05,2.24,9,0.05,16.3,39,1.7
8.0,P1/D/BH1-2/008,S008 ,23,24,,<0.01,0.15,0.62,3.3,<0.02,10,120,0.92,0.49,0.09,0.18,58.3,4.4,12,0.11,37.3,3.11,2.35,0.1,0.08,0.02,0.06,0.2,28,1.6,0.03,503,1.51,0.01,0.05,5.8,330,15.1,8.8,<0.001,<0.01,0.1,4.7,0.2,0.5,11.1,<0.01,<0.01,8.5,<0.005,0.07,1.46,22,0.05,12.25,71,3
9.0,P1/D/BH1-2/009,S009 ,24,25,,<0.01,0.08,0.7,6.2,<0.02,10,30,0.73,0.16,0.07,0.28,51.9,5.3,9,0.07,31.3,4.43,2.31,0.11,0.06,0.01,0.044,0.08,25.7,4,0.03,312,1.6,0.02,0.05,8.7,270,14.2,3.6,0.001,<0.01,0.05,5.9,0.2,0.5,9.4,<0.01,<0.01,9.6,<0.005,0.02,1.77,28,0.05,14.1,88,2.1
