sample_id,sb_as_ratio,cu_zn_ratio,au_ppm
S001,0.034482758620689655,0.35945945945945945,0.01
S002,0.07142857142857144,0.9235294117647058,0.005
S003,0.06666666666666667,0.6805555555555556,0.005
S004,0.04166666666666667,0.19166666666666668,0.005
S005,0.04782608695652174,0.555223880597015,0.01
S006,0.04042553191489361,0.839344262295082,0.005
S007,0.03166666666666667,0.6771428571428572,0.005
S008,0.011439114391143911,2.404,0.12
S009,0.007335907335907337,1.488888888888889,0.08
S010,0.043750000000000004,0.6064102564102564,0.005
S011,0.03015873015873016,1.396153846153846,0.01
S012,0.021052631578947368,8.4,0.01
S013,0.047619047619047616,0.8043478260869565,0.005
S014,0.043548387096774194,0.91875,0.005
S015,0.20625,0.4425925925925926,0.005
S016,0.017874396135265702,2.4973821989528795,0.93
S017,0.028124999999999997,0.7641509433962265,0.005
S018,0.05172413793103448,0.7536082474226804,0.005
S019,0.019411764705882354,0.24655172413793106,0.005
S020,0.016389548693586695,2.5053763440860215,0.89
S021,0.125,3.075,0.005
S022,0.021063394683026586,0.814935064935065,0.12
S023,0.1318181818181818,0.1688,0.005
S024,0.14444444444444446,0.10300751879699248,0.005
S025,0.125,0.09219858156028368,0.005
S026,0.06363636363636364,0.09868421052631579,0.005
S027,0.07272727272727272,0.13067484662576687,0.005
S028,0.007727272727272728,0.125,0.005
S029,0.025,0.09239130434782608,0.005
S030,0.020833333333333336,0.11188811188811189,0.005
S031,0.04871794871794872,0.05774647887323944,0.005
RC.BH19.012,0.0368421052631579,0.5099290780141844,0.005
RC.BH19.013,0.047619047619047616,0.29062499999999997,0.01
RC.BH19.014,0.03529411764705882,0.4303571428571429,0.01
RC.BH19.015,0.012499999999999999,0.5745762711864406,0.2
RC.BH19.016,0.014000000000000002,0.5075757575757576,0.04
RC.BH19.017,0.03783783783783784,0.33191489361702126,0.01
RC.BH19.018,0.04,0.534,0.005
RC.BH19.019,0.043589743589743594,0.4066666666666667,0.005
RC.BH19.020,0.045454545454545456,0.6837500000000001,0.005
RC.BH19.021,0.011304347826086957,0.5684210526315789,0.005
RC.BH19.022,0.02,0.24126984126984125,0.01
,0.029629629629629627,0.42000000000000004,0.01
RC.BH19.023,0.014141414141414142,0.8189655172413793,0.01
RC.BH19.024,0.005777777777777778,0.6385416666666667,0.02
RC.BH19.025,0.0055658627087198514,0.6169014084507042,0.01
RC.BH19.026,0.02372262773722628,0.21655172413793103,0.29
RC.BH19.027,0.020594965675057208,0.2581818181818182,0.4
,0.08333333333333334,0.5,0.005
RC.BH19.028,0.044059405940594064,0.3469026548672567,0.51
RC.BH19.029,0.017575083426028922,0.2617283950617284,0.13
RC.BH19.030,0.037209302325581395,0.06458333333333334,0.02
RC.BH19.031,0.043750000000000004,0.039411764705882354,0.01
RC.BH19.032,0.05897435897435898,0.19079754601226995,0.01
RC.BH19.033,0.075,0.040116279069767447,0.01
RC.BH19.034,0.03225806451612903,0.2827586206896552,0.01
RC.BH19.035,0.02526315789473684,0.281875,0.01
RC.BH19.036,0.05714285714285715,0.18430232558139534,0.005
RC.BH19.037,0.013846153846153845,0.3051948051948052,0.01
RC.BH19.038,0.012,0.3666666666666667,0.005
RC.BH19.039,0.038461538461538464,0.08705035971223021,0.005
RC.BH19.040,0.03,0.11692307692307692,0.01
RC.BH19.041,0.026086956521739132,0.44809160305343515,0.01
RC.BH19.042,0.02,0.14932432432432433,0.005
RC.BH19.043,0.026086956521739132,0.07636363636363637,0.005
RC.BH19.044,0.04615384615384615,0.046363636363636364,0.005
RC.BH19.045,0.027083333333333334,0.31313131313131315,0.005
,0.012037037037037037,0.8066666666666666,0.01
RC.BH19.046,0.0368421052631579,0.48823529411764705,0.005
RC.BH19.047,0.0368421052631579,1.1145454545454545,0.005
RC.BH19.048,0.00623229461756374,0.06615384615384615,0.005
RC.BH19.049,0.0043417366946778705,0.047619047619047616,0.005
RC.BH19.050,0.005543710021321962,0.04090909090909091,0.01
RC.BH19.051,0.004126984126984127,0.05,0.005
RC.BH19.052,0.004067796610169492,0.04615384615384615,0.005
RC.BH19.053,0.004441260744985674,0.14666666666666667,0.005
RC.BH19.054,0.003529411764705882,0.096,0.005
RC.BH19.055,0.004538799414348463,0.18181818181818182,0.005
RC.BH19.056,0.0045996592844974446,0.19545454545454544,0.005
RC.BH19.057,0.005084745762711864,0.765,0.01
RC.BH19.058,0.006321839080459771,0.7666666666666667,0.005
RC.BH19.059,0.004017857142857143,0.290625,0.005
RC.BH19.060,0.004176334106728538,0.30000000000000004,0.01
RC.BH19.061,0.0043668122270742364,0.6764705882352942,0.005
RC.BH19.062,0.007086614173228346,0.5380952380952382,0.005
RC.BH19.063,0.005511811023622047,0.4,0.01
RC.BH19.064,0.004830421377183967,0.52,0.01
RC.BH19.065,0.005254237288135593,0.5454545454545454,0.005
RC.BH19.066,0.0028846153846153848,0.24285714285714285,0.005
RC.BH19.067,0.003482587064676617,0.175,0.005
RC.BH19.068,0.00356687898089172,0.17368421052631577,0.01
RC.BH19.069,0.003891213389121339,0.023809523809523808,0.01
,0.05210526315789474,0.3251063829787234,0.48
RC.BH19.070,0.0036875,0.038461538461538464,0.005
RC.BH19.071,0.003625730994152047,0.13846153846153847,0.01
RC.BH19.072,0.004972972972972973,0.39333333333333337,0.005
RC.BH19.073,0.0038242894056847543,0.24615384615384617,0.005
RC.BH19.074,0.00421875,0.2545454545454545,0.005
RC.BH19.075,0.010576923076923076,0.5666666666666667,0.005
RC.BH19.076,0.007333333333333333,0.58125,0.005
